Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Four bidders participated in this work and two bidders found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,29-Oct-2018 05:53 PM,technical_33088.pdf,1.0,97612.0,ANIL KUMAR,11-Oct-2018 04:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Oct-2018 05:53 PM,1.0,97286.0,Rajinder Kumar,INR,"1,159,732",Finance,Financial Bid of the said work open on 2.11.2018 successfully.,Sanjiv Kumar,27-Apr-2019 01:16 PM,finance_33088.pdf,BOQ Comparative Chart,Er SK Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,27-Apr-2019 01:17 PM,finsummary_33088.pdf (180.62 KB),27-Apr-2019,"INR 807,228",90.0,Sanjiv Kumar,27-Apr-2019 01:21 PM,Awardmakolmalli.pdf (252.00 KB),Financial Bid of the said work open successfully on 2.11.2018 and work awarded to Sh. Rajinder Kumar R/O Agojar,PWD,2018_PWD_23665_1,PWD-BD-NIT-2018-19/8212-40,C/O Makol Malli and Kailashpur to Samled via Gurudwara road (Portion Kailashpur to Samled via Gurudwara road km 0/00 to 1/800,Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana DM Sh Ajeet Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,29-Oct-2018 05:54 PM,02-Nov-2018 11:00 AM,techsummary_33088.pdf (849.63 KB),AOC,1.0,Bid release and open date change,Other,,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,"16,200",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,20-Sep-2018 02:00 PM,12-Oct-2018 11:00 AM,20-Sep-2018 02:00 PM,12-Oct-2018 10:30 AM,NA ,NA ,20-Sep-2018 02:00 PM,12-Oct-2018 10:30 AM,02-Nov-2018 11:00 AM,PWD,PWD-BD-NIT-2018-19/8212-40,2018_PWD_23665_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O Makol Malli and Kailashpur to Samled via Gurudwara road (Portion Kailashpur to Samled via Gurudwara road km 0/00 to 1/800,Providing and Laying CC Pavement and C/O Both side berm portion between km 1/400 to 1/600 and B/wall at RD 1/510 to 1/615).,Please refer Tender documents. ,NA ,"8,07,228",Civil Works - Roads,NA ,Tender,90.0,90.0,Mali,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,AOC
,,,,,2.0,97296.0,Asha Kumari,11-Oct-2018 01:46 PM,Rejected-Finance,Higher side,27-Apr-2019 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,97286.0,Rajinder Kumar,09-Oct-2018 06:17 PM,Accepted-AOC,Lower Side,27-Apr-2019 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,97430.0,SUSHIL KUMAR,11-Oct-2018 01:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Oct-2018 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit furnished that contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
