Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,Nehri Mari road -4 Bharwain,2018_PWD_21583_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"13,400",Yes,fixed,,E E Bharwain,PNB at Amb,1.0,DD - Demand Draft,Improvement of black spot on Nehri Mairi road km 00 to 30 SH Providing fixing W metal beam crash barrier between km 0760 to 1415,Improvement of black spot on Nehri Mairi road km 00 to 30 SH Providing fixing W metal beam crash barrier between km 0760 to 1415,Tender Documents ,NA ,"69,000",Civil Works,Road ,Tender,120.0,30.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,350.0,EE Bharwain,PNB at Amb,Yes,Executive Engineer,Division HPPWD Bharwain,12-Jun-2018 09:00 AM,18-Jun-2018 11:30 AM,12-Jun-2018 09:00 AM,18-Jun-2018 09:00 AM,NA ,NA ,12-Jun-2018 09:00 AM,18-Jun-2018 09:00 AM,30-Jun-2018 05:10 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),AOC,Er.HL Sharma,Internal,Smt Rani Devi Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Harbans Lal Sharma,30-Jun-2018 05:06 PM,30-Jun-2018 05:10 PM,techsummary_30491.pdf (2426.60 KB),PWD,2018_PWD_21583_1,Nehri Mari road -4 Bharwain,Improvement of black spot on Nehri Mairi road km 00 to 30 SH Providing fixing W metal beam crash barrier between km 0760 to 1415,29-Apr-2019,"INR 669,000",30.0,Harbans Lal Sharma,29-Apr-2019 04:02 PM,8931dated24918.PDF (687.00 KB),Award latter No. 8931-39 dated 24-09-2018,Er.HL Sharma,Internal,Smt Pawana Kumari i Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE,Harbans Lal Sharma,21-Aug-2018 10:23 AM,finsummary_30491.pdf (702.60 KB),1.0,86568.0,Arjun Singh,INR,"578,685",Finance,Summary Financial bid uploaded,Harbans Lal Sharma,20-Aug-2018 10:09 AM,finance_30491.pdf,BOQ Comparative Chart,1.0,86568.0,Arjun Singh,17-Jun-2018 05:27 PM,Accepted-AOC,ok,29-Apr-2019 04:02 PM,Technical,Smt Rani Devi Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Harbans Lal Sharma,30-Jun-2018 05:02 PM,technical_30491.pdf,AOC
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,86533.0,Karnail Singh,17-Jun-2018 09:33 PM,Rejected-AOC,ok,29-Apr-2019 04:02 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,86546.0,Karnail Singh Govt. Contractor,17-Jun-2018 02:34 PM,Rejected-AOC,ok,29-Apr-2019 04:02 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work in hand certificate General Rule No.19(Shown in scheduled F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. do not have more than two works at in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. authorization of upload and sign the tender documents formalities related to the work,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machineries Tool plants Indicated in schedule-F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him (Gener,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. (i) information furnished is correct (ii) as per Bid capacity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder like to be provide,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
