Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
11-Apr-2019,"INR 1,184,509",90.0,Bhag Mal Thakur,11-Apr-2019 03:34 PM,AOC325.pdf (412.00 KB),Award letter,Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 04:12 PM,finsummary_32639.pdf (312.89 KB),Er B.M. Thakur,Internal,A.E. Joginder Nagar DAO Supdt. HDM,Bhag Mal Thakur,27-Sep-2018 05:16 PM,29-Sep-2018 11:00 AM,techsummary_32639.pdf (303.39 KB),PWD,2018_PWD_23325_1,PW-JND-B and R-EA-I-NIT-11057-11156 dt. 24.08.2018,Construction of Government I.T.I. building at Joginder Nagar District Mandi (H.P.),Technical,summary,Bhag Mal Thakur,20-Sep-2018 04:08 PM,technical_32639.pdf,1.0,95075.0,Ajay Kumar,19-Sep-2018 11:59 AM,Rejected-Finance,L-3,09-Apr-2019 04:12 PM,1.0,94666.0,Vinay Kumar,INR,"1,184,509",Finance,fbosummary,Bhag Mal Thakur,29-Sep-2018 11:38 AM,finance_32639.pdf,BOQ Comparative Chart,AOC,500.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,"20,700",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,PWD,PW-JND-B and R-EA-I-NIT-11057-11156 dt. 24.08.2018,2018_PWD_23325_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,06-Sep-2018 10:00 AM,20-Sep-2018 11:30 AM,06-Sep-2018 10:00 AM,19-Sep-2018 05:00 PM,NA ,NA ,06-Sep-2018 10:00 AM,19-Sep-2018 05:00 PM,29-Sep-2018 11:00 AM,Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",Construction of Government I.T.I. building at Joginder Nagar District Mandi (H.P.),"Construction of boundary wall, gate and barbed wire fencing over boundary wall",As per bid documents ,NA ,"10,32,860",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,95071.0,Parma Nand,19-Sep-2018 11:27 AM,Rejected-Finance,L-4,09-Apr-2019 04:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,94992.0,Prem Singh,18-Sep-2018 06:36 PM,Rejected-Finance,L-5,09-Apr-2019 04:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,95140.0,SANJEEV KATOCH,19-Sep-2018 03:42 PM,Rejected-Finance,L-2,09-Apr-2019 04:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,94666.0,Vinay Kumar,14-Sep-2018 09:31 PM,Accepted-AOC,AOC,11-Apr-2019 03:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
