Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,FBOS,Naresh Raj Chandel,27-Feb-2019 03:05 PM,finance_38080.pdf,BOQ Comparative Chart,1.0,113208.0,A.A. ENTREPRENEURS,INR,"1,908,743",Technical,BOS,Naresh Raj Chandel,21-Feb-2019 05:53 PM,technical_38080.pdf,1.0,113208.0,A.A. ENTREPRENEURS,18-Feb-2019 06:14 PM,Accepted-AOC,"AOC issued, Being L-1",26-Apr-2019 05:46 PM,26-Apr-2019,"INR 1,976,702",30.0,Naresh Raj Chandel,26-Apr-2019 05:46 PM,AOCSNRDharanda.pdf (4760.00 KB),AOC issued beign lowest.,"Superintending Engineer, 1st Circle, HPPWD Mandi",Internal,Executive Engineer (Design) Executive Engineer Sundernagar Divn Circle Head D.Man Superintendent (Works),Naresh Raj Chandel,16-Apr-2019 12:36 PM,finsummary_38080.pdf (4872.37 KB),Er. D.R. Chauhan Executive Engineer,Internal,N.R. Chandel Member Sushil Kumar Member Dinesh Sen Member Girja Sharma Member,Naresh Raj Chandel,22-Feb-2019 05:41 PM,23-Feb-2019 10:00 AM,techsummary_38080.pdf (207.76 KB),PWD,2019_PWD_26801_1,PW-SNR-CB-E-TNR/18-18709-15 dt 17-01-19,Annual Surfacing on Sundernagar Dharanda Khilara road (Village Road),AOC,06-Feb-2019 12:30 PM,20-Feb-2019 11:00 AM,06-Feb-2019 01:00 PM,19-Feb-2019 06:00 PM,06-Feb-2019 12:30 PM ,19-Feb-2019 04:00 PM ,06-Feb-2019 01:00 PM,19-Feb-2019 06:00 PM,23-Feb-2019 10:00 AM,1.0,DD - Demand Draft,Executive Engineer Sunder Nagar Division HPPWD,Executive Engineer Sunder Nagar Division HPPWD,Annual Surfacing on Sundernagar Dharanda Khilara road (Village Road),SH Providing and laying 25 mm thick bituminous concrete including profile correction in KM 0/o to 2/0,Please refer Tender documents. ,NA ,"15,25,776",Civil Works,NA ,Tender,120.0,30.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,500.0,EE Sundernagar,Sundernagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"30,500",Yes,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-TNR/18-18709-15 dt 17-01-19,2019_PWD_26801_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,113348.0,S.A ASSOCIATE,18-Feb-2019 06:27 PM,Rejected-AOC,"rejected, being L-2",26-Apr-2019 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,AOC
