Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:30 PM,finsummary_36495.pdf (20.96 KB),02-Apr-2019,"INR 172,062",60.0,Vijay Kumar Aggarwal,02-Apr-2019 11:11 AM,award68_970to71_975.PDF (1215.00 KB),Award,PWD,2019_PWD_25940_6,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to NH 72 (New NH 07) Kala Amb Paonta Sahib Dehradun road Km 46/0 to 103/0 (SH Construction of rain shelter at RD 68/970 near Banakala and 71/975 Near Satiwala),Er VK Aggarwal,Internal,TA Supttd DHD DAO AE DHaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 02:05 PM,12-Feb-2019 03:00 PM,techsummary_36495.pdf (1803.53 KB),Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 12:08 PM,finance_36495.pdf,BOQ Comparative Chart,1.0,109651.0,Joginder Singh,INR,"215,884",Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 01:24 PM,technical_36495.pdf,1.0,109677.0,Ashwani kumar,29-Jan-2019 07:18 PM,Rejected-AOC,2nd lowest,02-Apr-2019 11:11 AM,AOC,15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,1.0,DD - Demand Draft,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),Ordinary repair to NH 72 (New NH 07) Kala Amb Paonta Sahib Dehradun road Km 46/0 to 103/0 (SH Construction of rain shelter at RD 68/970 near Banakala and 71/975 Near Satiwala),Ordinary repair to NH 72 (New NH 07) Kala Amb Paonta Sahib Dehradun road Km 46/0 to 103/0 (SH Construction of rain shelter at RD 68/970 near Banakala and 71/975 Near Satiwala),refer tender document ,NA ,"1,72,062",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"4,000",No,fixed,,EE NH Division HPPWD Nahan,Nahan,350.0,EE NH Division HPPWD Nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109651.0,Joginder Singh,29-Jan-2019 06:08 PM,Accepted-AOC,1st lowest,02-Apr-2019 11:11 AM,AOC,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109778.0,KAMDHENU ENTERPRISES,30-Jan-2019 07:26 AM,Rejected-Technical,Non responsive,12-Feb-2019 02:05 PM,AOC,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,109678.0,NASEEM AHMED,29-Jan-2019 08:03 PM,Rejected-AOC,4th lowest,02-Apr-2019 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,109685.0,rakesh govt. contractor,29-Jan-2019 08:56 PM,Rejected-AOC,5th lowest,02-Apr-2019 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,108644.0,Saddam Engineering,29-Jan-2019 08:46 PM,Rejected-AOC,3rd lowest,02-Apr-2019 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
