S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,500.0,EE B and R Division HPPWD Solan,EE Solan,No,EE B and R Solan,EE B and R Division HPPWD Solan,"34,500",No,fixed,,EE B and D Division HPPWD Solan,EE Solan,PWD,17151-58 dated 21.02.2018 AMP Waknaghat 12/0,2018_PWD_20313_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,22-Mar-2018 06:40 PM,31-Mar-2018 11:00 AM,22-Mar-2018 06:40 PM,31-Mar-2018 10:30 AM,NA ,NA ,22-Mar-2018 06:40 PM,31-Mar-2018 10:30 AM,02-Apr-2018 02:00 PM,Periodical renewal under AMP for the Year 2018-19 of Waknaghat Subathu Portion waknaghat to Chausha road Km0/00 to 18/750 SH Providing and laying BC in Km4/0 to 5/0 and 5/0 to 6/0,Periodical renewal under AMP for the Year 2018-19 of Waknaghat Subathu Portion waknaghat to Chausha road Km0/00 to 18/750 SH Providing and laying BC in Km4/0 to 5/0 and 5/0 to 6/0,Please refer Tender documents. ,NA ,"17,93,658",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,AOC,Er Kulbir Singh Thakur EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kuamr HDM Smt Rekhya Kashyap Supdt GradeII and Shri Rajkumar Clerk,Vijay Kumar Chauhan,02-Apr-2018 01:57 PM,02-Apr-2018 02:00 PM,techsummary_28796.pdf (166.86 KB),PWD,2018_PWD_20313_2,17151-58 dated 21.02.2018 AMP Waknaghat 12/0,Periodical renewal under AMP for the Year 2018-19 of Waknaghat Subathu Portion waknaghat to Chausha road Km0/00 to 18/750 SH Providing and laying BC in Km4/0 to 5/0 and 5/0 to 6/0,26-Apr-2019,"INR 2,051,202",60.0,Arvind Kumar,26-Apr-2019 02:43 PM,Award.pdf (357.00 KB),Award of Contract,Er Kulbir Thakur EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri naresh Kumar HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,26-Apr-2019 02:42 PM,finsummary_28796.pdf (108.27 KB),1.0,80766.0,naresh vij govt contractor,31-Mar-2018 07:45 AM,Accepted-AOC,OK,26-Apr-2019 02:43 PM,Technical,Bid opening summary,Vijay Kumar Chauhan,02-Apr-2018 01:51 PM,technical_28796.pdf,Finance,Financial bid opening summary,Vijay Kumar Chauhan,02-Apr-2018 04:57 PM,finance_28796.pdf,BOQ Comparative Chart,1.0,80766.0,naresh vij govt contractor,INR,"2,084,257",AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,80775.0,PAWAN SHARMA,31-Mar-2018 07:19 AM,Rejected-Technical,Contractor has not submit the DD and FDRS,02-Apr-2018 01:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80793.0,RAJESH SHARMA,31-Mar-2018 09:39 AM,Rejected-AOC,OK,26-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other additional informaton bidder like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
