Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,500",EE National Higway,National Highway Division HPPWD Joginder Nagar,No,"66,300",No,fixed,,EE National Higway,National Highway Division HPPWD Joginder Nagar,Executive Engineer,National Highway Division HP.PWD. Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),20-Mar-2018 02:00 PM,28-Mar-2018 11:30 AM,20-Mar-2018 02:00 PM,27-Mar-2018 05:30 PM,NA ,NA ,20-Mar-2018 02:00 PM,27-Mar-2018 05:30 PM,05-Jun-2018 11:30 AM,PWD,Shahpur Type-III Quarter,2018_PWD_20280_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Construction of 4 Nos. Type-III quarter for public works employees at Shahpur Distt. Kangra HP,"Construction of building pofrtion including water supply, sanitary installation and rain water harvesting system",Please refer Tender documents. ,NA ,"39,18,746",Civil Works - Buildings,NA ,Tender,120.0,365.0,Shahpur,176120.0,NA ,NA ,NA ,Joginder Nagar,No ,No,AOC,1.0,80222.0,abhinav,26-Mar-2018 04:42 PM,Accepted-AOC,AOC,09-Apr-2019 11:30 AM,Technical,bid opening summary,Balbir Singh Thakur,29-Mar-2018 11:03 AM,technical_28728.pdf,1.0,80222.0,abhinav,INR,"5,209,694",Finance,fbosummary,Balbir Singh Thakur,08-Jun-2018 12:41 PM,finance_28728.pdf,BOQ Comparative Chart,PWD,2018_PWD_20280_1,Shahpur Type-III Quarter,Construction of 4 Nos. Type-III quarter for public works employees at Shahpur Distt. Kangra HP,Er. Rajeev Sharma,Internal,"A.E. NH Gumma, Sr. DAO, Supdt and H.D.M.",Balbir Singh Thakur,28-May-2018 02:35 PM,05-Jun-2018 11:30 AM,techsummary_28728.pdf (187.94 KB),Er. Rajeev Sharma,Internal,AE Gumma Sr.DAO Supdt. HDM,Piar Chand,08-Apr-2019 03:29 PM,finsummary_28728.pdf (152.81 KB),09-Apr-2019,"INR 5,209,694",365.0,Piar Chand,09-Apr-2019 11:30 AM,AOC80.pdf (320.00 KB),AOC,AOC
,,,,,,,,,,,,,,.pdf,Earnest money (indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,2.0,80237.0,Balouria,27-Mar-2018 02:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2018 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Contractors Registration (general Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,80338.0,Vishwas Rathore,27-Mar-2018 02:41 PM,Rejected-Finance,L-2,08-Apr-2019 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,GST Registration (General rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form No 7 and 8 duly signed on judiciary paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Permanent account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
