Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
21-Apr-2019,"INR 753,546",90.0,Vivek Sharma,21-Apr-2019 06:38 AM,24307A.pdf (772.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,20-Apr-2019 12:34 AM,finsummary_33960.pdf (629.24 KB),EEHamirpur,Internal,SupdtSrDAOHDMAEtoEE,Dev Raj,14-Nov-2018 10:06 PM,15-Nov-2018 03:30 PM,techsummary_33960.pdf (996.38 KB),PWD,2018_PWD_24307_1,A/R and M/O to Div. office building at Hamirpur,A/R and M/O to Division office building at Hamirpur,Finance,Attached,Vivek Sharma,06-Jan-2019 02:01 PM,finance_33960.pdf,BOQ Comparative Chart,1.0,98845.0,Satish Kumar,INR,"753,446",Technical,Attached,Dev Raj,14-Nov-2018 09:00 PM,technical_33960.pdf,1.0,99186.0,BISHAV SHAMA,02-Nov-2018 12:18 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:00 PM,AOC,"14,500",No,fixed,,EE Hamirpur,EE Hamirpur,25-Oct-2018 06:00 PM,02-Nov-2018 03:30 PM,25-Oct-2018 06:00 PM,02-Nov-2018 10:30 AM,NA ,NA ,25-Oct-2018 06:00 PM,02-Nov-2018 10:30 AM,15-Nov-2018 03:30 PM,350.0,EE Hamirpur,EE Hamirpur,Yes,A/R and M/O to Division office building at Hamirpur,SH Painting Distempering and other minor repair,Please refer Tender documents. ,NA ,"7,14,539",Civil Works - Buildings,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Jamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hmirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,A/R and M/O to Div. office building at Hamirpur,2018_PWD_24307_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99277.0,Dinesh Thakur,02-Nov-2018 08:35 AM,Rejected-AOC,l4,21-Apr-2019 06:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,99240.0,Prem Lal Govt. Contractor,01-Nov-2018 07:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,98845.0,Satish Kumar,31-Oct-2018 12:09 PM,Accepted-AOC,L1,21-Apr-2019 06:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,99292.0,SURESH THAKUR GOV CONT,02-Nov-2018 08:06 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,99294.0,SURINDER KUMAR,02-Nov-2018 08:53 AM,Rejected-AOC,l3,21-Apr-2019 06:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,99260.0,thakur enterprises,01-Nov-2018 07:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,99266.0,vino kumar,01-Nov-2018 09:19 PM,Rejected-AOC,l2,21-Apr-2019 06:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,99254.0,Yash Paul,01-Nov-2018 06:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
