Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Financial bid of the said work open on 3.12.2018 sucessfully,Sanjiv Kumar,06-Dec-2018 04:21 PM,finance_34110.pdf,BOQ Comparative Chart,1.0,100572.0,Ajay Kumar,INR,"1,051,550",Technical,Three bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,29-Nov-2018 03:28 PM,technical_34110.pdf,1.0,100572.0,Ajay Kumar,17-Nov-2018 05:06 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,11-Apr-2019 03:49 PM,11-Apr-2019,"INR 979,930",90.0,Virender Kumar,11-Apr-2019 03:49 PM,Award.pdf (278.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, Superintendent G-II, HDM, Sr. DAO",Virender Kumar,11-Apr-2019 03:46 PM,finsummary_34110.pdf (195.44 KB),Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana DM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,29-Nov-2018 03:30 PM,03-Dec-2018 11:00 AM,techsummary_34110.pdf (286.90 KB),PWD,2018_PWD_24405_1,PWD-BD-NIT-2018-19/10580-630,Improvement and strengthening of Jalag Dali Nahanla road Km 0/0 to 8/960,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,1.0,DD - Demand Draft,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,Improvement and strengthening of Jalag Dali Nahanla road Km 0/0 to 8/960,"C/O V-Shape Drain at Km 0/150 to 0/570, 0/580 to 0/860.50, 1/440 to 1/550, 1/815 to 1/980 and 3/015 to 3/050 C/O 2 Nos. 1.00 mtr span RCC slab culvert at RD 3/595, 8/080 and 1 No. 900mm dia hume pipe culvert at RD 3/375",Please refer Tender documents. ,NA ,"9,79,930",Civil Works - Roads,NA ,Tender,90.0,90.0,Jalag,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,03-Nov-2018 10:00 AM,19-Nov-2018 11:00 AM,03-Nov-2018 12:00 PM,19-Nov-2018 10:30 AM,NA ,NA ,03-Nov-2018 12:00 PM,19-Nov-2018 10:30 AM,03-Dec-2018 11:00 AM,"19,600",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,PWD,PWD-BD-NIT-2018-19/10580-630,2018_PWD_24405_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,100592.0,Kalpna thakur,17-Nov-2018 06:03 PM,Rejected-AOC,Rejected due to higher rates bidder L3,11-Apr-2019 03:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,100591.0,SURINDER SINGH RANA,17-Nov-2018 06:41 PM,Rejected-AOC,Rejected due to higher rates bidder L2,11-Apr-2019 03:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit furnished that contractor has not more than two work in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
