Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
22-Apr-2019,"INR 657,550",60.0,Hem Raj,22-Apr-2019 05:52 PM,Award-Jawalamukhi-Dehra-Jawali-25145-3.pdf (1180.00 KB),Award letter,Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Hem Raj,22-Apr-2019 05:42 PM,finsummary_35166.pdf (2176.07 KB),Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Gurcharan Singh Rana,12-Jan-2019 12:23 PM,15-Jan-2019 11:30 AM,techsummary_35166.pdf (2175.93 KB),PWD,2018_PWD_25145_3,EE Dehra letter No. 11377-11426 dt 28.11.2018,Construction of Jawalamukhi Dehra Jawali Raja Ka Talab Road,1.0,104684.0,Rajeev Sharma,INR,"738,894",Finance,Financial bid opened on 15.01.2019,Hem Raj,17-Jan-2019 12:43 PM,finance_35166.pdf,BOQ Comparative Chart,Technical,Technical bid opened on 21.12.2018,Gurcharan Singh Rana,11-Jan-2019 07:35 PM,technical_35166.pdf,1.0,104742.0,AMIT MAHAJAN GOVT. CONTRACTOR,20-Dec-2018 04:35 PM,Rejected-Finance,Being L3,22-Apr-2019 05:42 PM,AOC,1.0,DD - Demand Draft,PWD,EE Dehra letter No. 11377-11426 dt 28.11.2018,2018_PWD_25145_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),06-Dec-2018 10:00 AM,21-Dec-2018 11:30 AM,06-Dec-2018 10:00 AM,20-Dec-2018 06:00 PM,NA ,NA ,06-Dec-2018 10:00 AM,20-Dec-2018 06:00 PM,15-Jan-2019 11:30 AM,350.0,EE Dehra,Dehra,No,Executive Engineer,Dehra Division HPPWD Dehra,"13,200",No,fixed,,EE Dehra,Dehra,Construction of Jawalamukhi Dehra Jawali Raja Ka Talab Road,Construction of U-Shape drain in Km 31/099 to 31/460) Under MMGSY.,Please refer to tender documents ,NA ,"6,57,550",Civil Works,NA ,Tender,120.0,60.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,104716.0,LUCKY KAPOOR,20-Dec-2018 03:46 PM,Rejected-Finance,Being L2,22-Apr-2019 05:42 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest money(indicated in Schedule-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,104684.0,Rajeev Sharma,20-Dec-2018 02:12 PM,Accepted-AOC,Being L1,22-Apr-2019 05:52 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration (TIN No.)(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
