Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Periodical renewal on Kaffota to Kando Cheyog road.,"Providing 25mm thick bituminous concrete in km. 14/0 to 15/0) , Periodical renewal on Jakhana to Sharli Manpur road (SH- Repair of pot holes and providing 25mm thick bituminous concrete in km.0/0 to 1/0) and Periodical renewal on Kaffota to Koti",As per bidder document ,NA ,"40,43,631",Civil Works - Roads,NA ,Tender,120.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,PWD,Shillai- 14962-15061 dated-02-02-2019,2019_PWD_27123_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"2,000",EE Shillai,Shillai,No,Executive Engineer Shillai,Executive Engineer Shillai HPPWD Division Shillai,13-Feb-2019 05:00 PM,28-Feb-2019 12:30 PM,13-Feb-2019 05:00 PM,27-Feb-2019 05:00 PM,NA ,NA ,13-Feb-2019 05:00 PM,27-Feb-2019 05:00 PM,05-Mar-2019 04:00 PM,"68,200",No,fixed,,EE Shillai,Shillai,1.0,DD - Demand Draft,AOC,1.0,116071.0,M/s Chauhan Construction,INR,"5,585,965",Finance,bid opening summary,Pramod Upreti,19-Apr-2019 10:57 AM,finance_38626.pdf,BOQ Comparative Chart,1.0,116071.0,M/s Chauhan Construction,27-Feb-2019 01:34 PM,Accepted-AOC,lowest,19-Apr-2019 11:12 AM,Technical,technical summary,Pramod Upreti,28-Feb-2019 06:04 PM,technical_38626.pdf,Er. Pramod Upreti,Internal,"AE Shillai, DAO, Supdt. DHD, TA",Pramod Upreti,05-Mar-2019 02:15 PM,05-Mar-2019 04:00 PM,techsummary_38626.pdf (268.88 KB),PWD,2019_PWD_27123_2,Shillai- 14962-15061 dated-02-02-2019,Periodical renewal on Kaffota to Kando Cheyog road.,19-Apr-2019,"INR 4,043,631",90.0,Pramod Upreti,19-Apr-2019 11:12 AM,165.pdf (297.00 KB),award letter,EE Shillai,Internal,"AE Shillai, DAO,DHD, supdt.",Pramod Upreti,19-Apr-2019 11:02 AM,finsummary_38626.pdf (117.73 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,116034.0,M/S SARVJEET SINGH,27-Feb-2019 12:29 PM,Rejected-Finance,not lowest,19-Apr-2019 11:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,115993.0,Sanjeev Sharma,27-Feb-2019 11:45 AM,Rejected-Technical,Not Qualify,05-Mar-2019 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,list of machinery tools and plants asper schedule-F SrNo 6.19Refer clause no18 proof of ownership,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"affidavit hire basis from owner of machinery, Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Special condition of the contract the Contractor must have Paver finisher,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Vibratory roller of requisite Capacity to carry out the work.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Special condition of the contract the Contractor must have hot mix plant,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,producing an average output requisite Capacity to carry out the work.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
