Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
11-Apr-2019,"INR 4,391,184",90.0,Bhag Mal Thakur,11-Apr-2019 04:14 PM,AOC181.pdf (477.00 KB),AOC,Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 03:48 PM,finsummary_31247.pdf (316.96 KB),Er B. M. Thakur,Internal,AE Joginder Nagar DAO Supdt. HDM,Bhag Mal Thakur,03-Aug-2018 01:22 PM,06-Aug-2018 11:00 AM,techsummary_31247.pdf (293.22 KB),PWD,2018_PWD_22181_1,PW-JND-B and R-EA-I-NIT- 6053-6152 dt. 21.06.2018,Periodical maintenance of Joginder Nagar Sarkaghat Ghumarwin road (HP801MDR001928) (other than PMGSY road) under Annual Maintenance plan for the year 2018-19 (Additional),Technical,summary,Bhag Mal Thakur,30-Jul-2018 05:04 PM,technical_31247.pdf,1.0,90308.0,G.P.ACHARYA,28-Jul-2018 02:43 PM,Rejected-Finance,L-2,09-Apr-2019 03:48 PM,1.0,90331.0,P. L. SHARMA,INR,"4,391,184",Finance,fbosummary,Bhag Mal Thakur,07-Aug-2018 03:42 PM,finance_31247.pdf,BOQ Comparative Chart,AOC,09-Jul-2018 10:00 AM,30-Jul-2018 11:30 AM,09-Jul-2018 10:00 AM,28-Jul-2018 05:00 PM,NA ,NA ,09-Jul-2018 10:00 AM,28-Jul-2018 05:00 PM,06-Aug-2018 11:00 AM,Periodical maintenance of Joginder Nagar Sarkaghat Ghumarwin road (HP801MDR001928) (other than PMGSY road) under Annual Maintenance plan for the year 2018-19 (Additional),"Providing and laying built-up spray grout, bituminous concrete in Km 17/0 to 20/0) (Intermediate Lane)",Please refer to tender doucments ,NA ,"39,48,009",Civil Works - Roads,NA ,Tender,90.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"1,500",EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT- 6053-6152 dt. 21.06.2018,2018_PWD_22181_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar","66,800",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,90331.0,P. L. SHARMA,28-Jul-2018 02:47 PM,Accepted-AOC,AOC,11-Apr-2019 04:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
