Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,R/M of Sainik School HostalSatluj Beas Yamuna,2018_PWD_24312_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,500.0,EE Hamirpur,EE Hamirpur,Yes,Repair and Maintenance of Sainik School Hostal Satluj Beas YamunaChenab of Sujanpur Tihra,SH Providing and Fixing aluminum and Grating etc,Please refer Tender documents. ,NA ,"13,11,925",Civil Works - Buildings,NA ,Tender,60.0,90.0,Sujanpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,26-Oct-2018 09:00 AM,02-Nov-2018 03:00 PM,26-Oct-2018 09:00 AM,02-Nov-2018 10:25 AM,NA ,NA ,26-Oct-2018 09:00 AM,02-Nov-2018 10:25 AM,15-Nov-2018 03:30 PM,"26,300",No,fixed,,EE Hamirpur,EE Hamirpur,AOC,1.0,99276.0,Dinesh Thakur,02-Nov-2018 08:38 AM,Accepted-AOC,l1,20-Apr-2019 12:06 AM,Technical,Attached,Dev Raj,14-Nov-2018 09:06 PM,technical_33967.pdf,Finance,Attached,Vivek Sharma,06-Jan-2019 01:49 PM,finance_33967.pdf,BOQ Comparative Chart,1.0,99276.0,Dinesh Thakur,INR,"18,887,772",PWD,2018_PWD_24312_1,R/M of Sainik School HostalSatluj Beas Yamuna,Repair and Maintenance of Sainik School Hostal Satluj Beas YamunaChenab of Sujanpur Tihra,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,14-Nov-2018 09:38 PM,15-Nov-2018 03:30 PM,techsummary_33967.pdf (946.38 KB),EEhaamirpur,Internal,supdtSrDAOHDMAEtEE,Vivek Sharma,19-Apr-2019 11:45 PM,finsummary_33967.pdf (517.54 KB),19-Apr-2019,"INR 3,995,835",90.0,Vivek Sharma,20-Apr-2019 12:06 AM,24312A.pdf (2182.00 KB),Award,AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,AOC,2.0,99291.0,SURESH THAKUR GOV CONT,02-Nov-2018 07:51 AM,Rejected-AOC,l2,20-Apr-2019 12:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,AOC,3.0,99290.0,VIVEK GUPTA,02-Nov-2018 10:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
