Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
Technical,Summary,Vijay Kumar Aggarwal,06-Oct-2018 03:55 PM,technical_32711.pdf,1,96415,Anil Sharma,01-Oct-2018 06:01 PM,Rejected-Finance,11th lowest,03-Dec-2018 05:08 PM,Finance,Summary,Vijay Kumar Aggarwal,03-Dec-2018 02:49 PM,finance_32711.pdf,BOQ Comparative Chart,1.0,96575.0,KULDEEP SINGH SHARMA,INR,"153,385",Er VK Aggarwal,Internal,TA Supttd DHD AE Dhaulakuan,Vijay Kumar Aggarwal,03-Dec-2018 05:08 PM,finsummary_32711.pdf (539.80 KB),03-Apr-2019,"INR 172,062",60.0,Vijay Kumar Aggarwal,03-Apr-2019 12:48 PM,70.pdf (1076.00 KB),Award,PWD,2018_PWD_23376_7,NIT No. 7512-49 dated 27.08.2018,Ordinary repair to Paonta-Shillai-Meenus-Hatkoti road km 0/0 to 161/715 on NH 72B (New NH 707) (SH Construction of Rain Shelter at RD17/300 (Near Sataun Bridge) and Km 60/0 Near Uttri Mour),Er VK Aggarwal,Internal,TA SUpttd DHD AE Dhaulakuan DAO,Vijay Kumar Aggarwal,06-Oct-2018 05:15 PM,06-Oct-2018 05:30 PM,techsummary_32711.pdf (3578.87 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),350.0,EE NH Division HPPWD Nahan,Nahan,No,Executive Engineer NH Division HPPWD Nahan,Executive Engineer NH Division HPPWD Nahan,"3,500",No,fixed,,EE NH Division HPPWD Nahan,Nahan,PWD,NIT No. 7512-49 dated 27.08.2018,2018_PWD_23376_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Ordinary repair to Paonta-Shillai-Meenus-Hatkoti road km 0/0 to 161/715 on NH 72B (New NH 707) (SH Construction of Rain Shelter at RD17/300 (Near Sataun Bridge) and Km 60/0 Near Uttri Mour),Ordinary repair to Paonta-Shillai-Meenus-Hatkoti road km 0/0 to 161/715 on NH 72B (New NH 707) (SH Construction of Rain Shelter at RD17/300 (Near Sataun Bridge) and Km 60/0 Near Uttri Mour),refer tender document ,NA ,"1,72,062",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Nahan,No ,No,07-Sep-2018 05:00 PM,03-Oct-2018 11:30 AM,07-Sep-2018 05:30 PM,03-Oct-2018 10:30 AM,NA ,NA ,07-Sep-2018 05:30 PM,03-Oct-2018 10:30 AM,06-Oct-2018 05:30 PM,1.0,DD - Demand Draft,AOC
,,,,,2,96102,CHAMEL SINGH,28-Sep-2018 03:37 PM,Rejected-Finance,5th lowest,03-Dec-2018 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,AOC
,,,,,3,96344,Dhanvir Singh,02-Oct-2018 01:58 PM,Rejected-Finance,12th lowest,03-Dec-2018 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,4,96465,Gian Singh Chauhan,02-Oct-2018 12:56 PM,Rejected-Finance,8th lowest,03-Dec-2018 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration(Refer General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5,96461,Gulab Singh,02-Oct-2018 11:04 AM,Rejected-Finance,7th lowest,03-Dec-2018 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6,96538,jagat singh,02-Oct-2018 05:03 PM,Rejected-Technical,Non responsive,06-Oct-2018 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7,96575,KULDEEP SINGH SHARMA,03-Oct-2018 09:30 AM,Accepted-AOC,1st lowest,03-Apr-2019 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,8,96496,MUKESH KUMAR,02-Oct-2018 02:10 PM,Rejected-Technical,Non Responsive,06-Oct-2018 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,9,96445,naresh,02-Oct-2018 08:07 PM,Rejected-Finance,9th lowest,03-Dec-2018 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,10,96296,Nato Devi,30-Sep-2018 12:31 PM,Rejected-Finance,4th lowest,03-Dec-2018 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
