EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"50,000",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,"1,500",Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,Executive Engineer,Executive Engineer HPPWD Division Barsar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"Construction of Stadium including Track Pavilion Field, R/Wall etc. at Govt Degree college Bhoranj",C/O Balance work of field and foot path,Please refer Tender documents. ,NA ,"28,31,811",Civil Works - Buildings,NA ,Tender,120.0,120.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,PWD,Construction of Stadium Bhoranj,2018_PWD_25019_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,01-Dec-2018 10:30 AM,13-Dec-2018 10:30 AM,01-Dec-2018 10:30 AM,12-Dec-2018 10:30 AM,NA ,NA ,01-Dec-2018 10:30 AM,12-Dec-2018 10:30 AM,18-Dec-2018 11:30 AM,AOC,Executive Engineer,Internal,Supdt HDM DAO AE,Anil Kumar Sharma,17-Dec-2018 11:13 AM,18-Dec-2018 11:30 AM,techsummary_35003.pdf (490.70 KB),PWD,2018_PWD_25019_1,Construction of Stadium Bhoranj,"Construction of Stadium including Track Pavilion Field, R/Wall etc. at Govt Degree college Bhoranj",10-Apr-2019,"INR 2,831,811",120.0,Pramod Kashyap,10-Apr-2019 02:44 PM,kamal.pdf (465.00 KB),"Construction of Stadium including Track Pavilion Field, R/Wall etc. at Govt Degree college Bhoranj",EE,Internal,Supdt HDM DAO AE,Pramod Kashyap,18-Dec-2018 04:15 PM,finsummary_35003.pdf (166.95 KB),1.0,103110.0,KAMAL PATHANIA GOVT.CONTRACTOR,INR,"3,462,587",Finance,fin bid,Pramod Kashyap,18-Dec-2018 04:07 PM,finance_35003.pdf,BOQ Comparative Chart,1.0,103189.0,ashok Thakur,12-Dec-2018 07:09 AM,Rejected-Finance,L 4,18-Dec-2018 04:15 PM,Technical,tech bid,Pramod Kashyap,13-Dec-2018 04:52 PM,technical_35003.pdf,AOC
,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,103110.0,KAMAL PATHANIA GOVT.CONTRACTOR,11-Dec-2018 12:28 PM,Accepted-AOC,L,10-Apr-2019 02:44 PM,,,,,,AOC
,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,103174.0,SHASHI KUMAR GOVT CONT,11-Dec-2018 07:56 PM,Rejected-Finance,L 3,18-Dec-2018 04:15 PM,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,103179.0,Sureshkumar,11-Dec-2018 08:56 PM,Rejected-Finance,L 2,18-Dec-2018 04:15 PM,,,,,,AOC
,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Aff. That information submitted by the bidder is true and correctattested by Executive Magistrate/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
