Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
EE Ramesh Singh,Internal,"Chaman Lal AE, Kehar Singh Supdt. Bhagat Ram HDM",Bishwjeet Singh,22-Apr-2019 12:14 PM,finsummary_33072.pdf (278.71 KB),22-Apr-2019,"INR 8,687,187",60.0,Bishwjeet Singh,22-Apr-2019 12:31 PM,14.pdf (359.00 KB),AOC,PWD,2018_PWD_23649_1,12121-60,Periodical maintenance on Kot Devidarh road Km. 0/0 to 22/400,EERamesh Singh,Internal,"AEBishwjeet,Bhagat RamHDM,RattanLal Supdt.Gr.-II",Bishwjeet Singh,17-Oct-2018 10:38 AM,26-Oct-2018 11:00 AM,techsummary_33072.pdf (335.21 KB),Finance,Financial Summary,Bishwjeet Singh,22-Apr-2019 11:55 AM,None,BOQ Comparative Chart,1.0,96739.0,S.A ASSOCIATE,INR,"15,467,882",Technical,Tech. Summery,Bishwjeet Singh,17-Oct-2018 10:32 AM,None,1.0,96776.0,"Prem Lal, govt. Contractor",04-Oct-2018 03:18 PM,Rejected-AOC,2nd Lowest,22-Apr-2019 12:31 PM,AOC,"2,000",EE Gohar,Gohar,Yes,Periodical maintenance on Kot Devidarh road Km. 0/0 to 22/400,"Periodical maintenance on Kot Devidarh road Km. 0/0 to 22/400 (SH Providing and laying G-III for Correction layer, 25 mm thick BC single layer in Km. 8/0 to 11/0 and 13/0 to 19/0)",Please refer Tender documents. ,NA ,"86,87,187",Civil Works,NA ,Tender,120.0,60.0,Gohar,175029.0,NA ,NA ,NA ,O/O Executive Engineer Gohar Division HPPWDGohar,No ,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,19-Sep-2018 05:00 PM,05-Oct-2018 11:30 AM,19-Sep-2018 05:00 PM,04-Oct-2018 05:00 PM,NA ,NA ,19-Sep-2018 05:30 PM,04-Oct-2018 05:00 PM,26-Oct-2018 11:00 AM,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer Gohar Division HPPWD Gohar,"1,19,000",Yes,fixed,,EE Gohar,Gohar,PWD,12121-60,2018_PWD_23649_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,96739.0,S.A ASSOCIATE,04-Oct-2018 12:42 PM,Accepted-AOC,Lowest,22-Apr-2019 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Labour License ,Labour License ,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Minimum Work done one similar work done of amount not less than 40 Percent Rule No 28.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,Litigation Details ,Litigation Details ,Litigation Details ,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
