Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Rajeev Sharma,Internal,AE Lad Bharol Supdt. HDM,Bhag Mal Thakur,16-Apr-2019 04:26 PM,finsummary_28697.pdf (324.37 KB),Er Rajeev Sharma,Internal,Superintendent Head Draughtsman Senior Divisional Accounts Office Assistant Engineer,Rajeev Sharma,10-Apr-2018 02:44 PM,10-Apr-2018 03:00 PM,techsummary_28697.pdf (282.27 KB),PWD,2018_PWD_20256_1,VR-067 Km.0 to 1.115,Periodical Maintenance of Km.T-03 to Tullah road (VR-0067) (PMGSY road) under Annual Maintenance Plan for the year 2018-19,Technical,Bid opening summary,Rajeev Sharma,04-Apr-2018 11:08 AM,technical_28697.pdf,1.0,80790.0,Gopal Singh Thakur,31-Mar-2018 04:19 PM,Rejected-Technical,Rejected,10-Apr-2018 02:44 PM,Finance,Financial bid opening summary,Balbir Singh Thakur,23-Apr-2018 05:01 PM,finance_28697.pdf,BOQ Comparative Chart,AOC,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,19-Mar-2018 02:00 PM,02-Apr-2018 11:00 AM,19-Mar-2018 02:00 PM,31-Mar-2018 05:00 PM,NA ,NA ,19-Mar-2018 02:00 PM,31-Mar-2018 05:00 PM,10-Apr-2018 03:00 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),Executive Engineer,B and R Division HPPWD Joginder Nagar,"13,100",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,PWD,VR-067 Km.0 to 1.115,2018_PWD_20256_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical Maintenance of Km.T-03 to Tullah road (VR-0067) (PMGSY road) under Annual Maintenance Plan for the year 2018-19,"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.0 to 1015",Please refer Tender documents. ,NA ,"6,56,483",Civil Works - Roads,NA ,Tender,120.0,90.0,Lad Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,80731.0,G.P.ACHARYA,31-Mar-2018 12:21 PM,Rejected-Finance,L-2,16-Apr-2019 04:26 PM,,,,,,,AOC,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money (indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,80785.0,P. L. SHARMA,31-Mar-2018 12:54 AM,Rejected-Finance,L-3,16-Apr-2019 04:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (general Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,80822.0,YUDHVIR SINGH,31-Mar-2018 12:50 PM,Accepted-AOC,AOC,16-Apr-2019 04:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration (General rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form No 7 and 8 duly signed on judiciary paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Permanent account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
