Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,03-Apr-2019 12:26 PM,finsummary_39015.pdf (336.96 KB),03-Apr-2019,"INR 1,977,083",90.0,Ajay Kumar Sharma,03-Apr-2019 12:28 PM,aoc.pdf (812.00 KB),AOC,PWD,2019_PWD_27393_1,CB/Tender/2019-20-12552-12602 dt 01.02.2019,A/R and M/O various bridges under the Jurisdiction of Paonta Division HP.PWD. Paonta Sahib SH Providing and Laying 25 mm thick mastic asphalt wearing course on top of deck slab with paving grade bitumen on various bridges,Er Ajay Sharma,Internal,saran singh supdt ram gopal gupta hdm inder singh SA,Ajay Kumar Sharma,05-Mar-2019 12:14 PM,05-Mar-2019 12:20 PM,techsummary_39015.pdf (357.57 KB),1.0,114824.0,S.S. Associates,INR,"2,727,675.5",Finance,Summary,Ajay Kumar Sharma,03-Apr-2019 12:20 PM,finance_39015.pdf,BOQ Comparative Chart,Technical,Summary,Ajay Kumar Sharma,05-Mar-2019 12:11 PM,technical_39015.pdf,1.0,114923.0,ARVIND KUMAR BANSAL,23-Feb-2019 07:20 PM,Rejected-Finance,L2,03-Apr-2019 12:26 PM,AOC,1.0,Date extended,Date,,500.0,EE Paonta Sahib,Paonta Sahib,Yes,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib,PWD,CB/Tender/2019-20-12552-12602 dt 01.02.2019,2019_PWD_27393_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"39,600",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,A/R and M/O various bridges under the Jurisdiction of Paonta Division HP.PWD. Paonta Sahib SH Providing and Laying 25 mm thick mastic asphalt wearing course on top of deck slab with paving grade bitumen on various bridges,A/R and M/O various bridges under the Jurisdiction of Paonta Division HP.PWD. Paonta Sahib SH Providing and Laying 25 mm thick mastic asphalt wearing course on top of deck slab with paving grade bitumen on various bridges,As per tender document ,NA ,"19,77,083",Civil Works - Bridges,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,15-Feb-2019 06:00 PM,01-Mar-2019 11:30 AM,15-Feb-2019 06:00 PM,28-Feb-2019 05:00 PM,NA ,NA ,15-Feb-2019 06:00 PM,28-Feb-2019 05:00 PM,05-Mar-2019 12:20 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115678.0,mohdjaseem,26-Feb-2019 04:44 PM,Rejected-Finance,L5,03-Apr-2019 12:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,116351.0,M/s Madan Chaudhary Cont-,27-Feb-2019 11:01 PM,Rejected-Finance,L3,03-Apr-2019 12:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,114824.0,S.S. Associates,23-Feb-2019 06:30 PM,Accepted-AOC,L1,03-Apr-2019 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,116480.0,unipro,28-Feb-2019 04:41 PM,Rejected-Finance,L5,03-Apr-2019 12:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18 alo,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
