Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Hem Raj,22-Apr-2019 04:57 PM,finsummary_33279.pdf (1158.40 KB),22-Apr-2019,"INR 1,073,516",90.0,Hem Raj,22-Apr-2019 05:01 PM,Award-Badhal-Ram-Beh-23791-7.pdf (1158.00 KB),Award letter,PWD,2018_PWD_23791_7,EE Dehra Letter No. 7697-7746 dt 18.09.2018,Construction of link road from village Badhal to village Ram Beh road Km 0/0 to 2/900,Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Gurcharan Singh Rana,22-Oct-2018 07:32 PM,23-Oct-2018 11:30 AM,techsummary_33279.pdf (449.92 KB),Technical,Technical bid opened on 12.10.2018,Hem Raj,15-Oct-2018 03:25 PM,technical_33279.pdf,1.0,97568.0,Ajay Kumar,11-Oct-2018 12:34 PM,Rejected-Finance,Being L5,22-Apr-2019 04:57 PM,1.0,97057.0,rupinder Singh,INR,"1,041,254",Finance,Financial bid opened on 23.10.2018,Gurcharan Singh Rana,27-Oct-2018 04:15 PM,finance_33279.pdf,BOQ Comparative Chart,AOC,Construction of link road from village Badhal to village Ram Beh road Km 0/0 to 2/900,"Formation cutting from Km 0/0 to 0/870, C/o 900mm dia Hume Pipe Culverts at RD 0/165 and P/L Soling, Wearing and Tarring in Km 0/0 to 0/600). Deposit work",Please refer to tender documents ,NA ,"10,73,516",Civil Works,NA ,Tender,120.0,90.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,"21,500",No,fixed,,EE Dehra,Dehra,PWD,EE Dehra Letter No. 7697-7746 dt 18.09.2018,2018_PWD_23791_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,27-Sep-2018 10:00 AM,12-Oct-2018 11:30 AM,27-Sep-2018 10:00 AM,11-Oct-2018 06:00 PM,NA ,NA ,27-Sep-2018 10:00 AM,11-Oct-2018 06:00 PM,23-Oct-2018 11:30 AM,1.0,DD - Demand Draft,500.0,EE Dehra,Dehra,No,Executive Engineer,Dehra Division HPPWD Dehra,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,97528.0,Davinder kumar,11-Oct-2018 09:21 AM,Rejected-Finance,Being L7,22-Apr-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,97551.0,Mehar Singh Govt. Contractor,11-Oct-2018 11:12 AM,Rejected-Finance,Being L6,22-Apr-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,97057.0,rupinder Singh,10-Oct-2018 08:14 AM,Accepted-AOC,Being L1,22-Apr-2019 05:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration (TIN No.)(General Rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,97593.0,SUBHASH CHAND,11-Oct-2018 03:02 PM,Rejected-Finance,Being L3,22-Apr-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,97617.0,SUMIT KUMAR GOVT. CONTRACTOR,11-Oct-2018 05:09 PM,Rejected-Finance,Being L4,22-Apr-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,97333.0,vishal dhiman,11-Oct-2018 08:21 AM,Rejected-Finance,Being L2,22-Apr-2019 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
