Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,10-Aug-2018 04:00 PM,24-Aug-2018 11:00 AM,10-Aug-2018 04:00 PM,23-Aug-2018 05:00 PM,NA ,NA ,10-Aug-2018 04:00 PM,23-Aug-2018 05:00 PM,30-Aug-2018 02:10 PM,Executive Engineer,Karchham Division HPPWD Karchham at Bhabanagar District Kinnaur HP,"83,700",No,fixed,,EE Karchham,Karchham/ Bhababnagar,Construction of Govt High School Building at Chansu District Kinnaur HP SH C.O. Building portion including WS and SI Septic Tank Rain Water Harvesting Tank etc,Construction of Govt High School Building at Chansu District Kinnaur HP SH C.O. Building portion including WS and SI Septic Tank Rain Water Harvesting Tank etc,Please refer Tender documents. ,NA ,"50,45,794",Civil Works - Buildings,NA ,Tender,90.0,540.0,Bhabanagar,172115.0,NA ,NA ,NA ,Karchham Division,No ,No,PWD,3276-79 dated 28.07.2018,2018_PWD_22845_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"2,000",EE Karchham,Karchham/ Bhababnagar,No,AOC,Er R L Chauhan,Internal,DAO HDM Supdt Gr II DA,ROSHAN LAL CHAUHAN,30-Aug-2018 02:05 PM,30-Aug-2018 02:10 PM,techsummary_32012.pdf (59.69 KB),PWD,2018_PWD_22845_1,3276-79 dated 28.07.2018,Construction of Govt High School Building at Chansu District Kinnaur HP SH C.O. Building portion including WS and SI Septic Tank Rain Water Harvesting Tank etc,03-Apr-2019,"INR 8,908,731",540.0,ROSHAN LAL CHAUHAN,03-Apr-2019 04:56 PM,AwardChansu.PDF (2885.00 KB),AOC,RL Chauhan XEN,Internal,HDM DA Supdt. Gr-II,ROSHAN LAL CHAUHAN,03-Apr-2019 04:49 PM,finsummary_32012.pdf (739.75 KB),1.0,92540.0,DARJE SUKH,23-Aug-2018 10:33 AM,Accepted-AOC,awarded,03-Apr-2019 04:56 PM,Technical,Bid opening summary,ROSHAN LAL CHAUHAN,30-Aug-2018 01:29 PM,technical_32012.pdf,Finance,Summary,ROSHAN LAL CHAUHAN,03-Apr-2019 04:44 PM,finance_32012.pdf,BOQ Comparative Chart,1.0,92540.0,DARJE SUKH,INR,"8,908,731",AOC
,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,92568.0,PYARE LAL,23-Aug-2018 02:31 PM,Rejected-Technical,Non Responsive,30-Aug-2018 02:05 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,92592.0,SIKANDER SINGH,23-Aug-2018 01:53 PM,Rejected-AOC,L2,03-Apr-2019 04:56 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Financial reports for the last five years balance sheet profit and loss statement Rule 28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
