S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,85267.0,PURAN SHARMA GOVT CONT,INR,"2,132,119.41",Finance,dsafa,Pritam Chand Sharma,12-Jun-2018 05:53 PM,None,BOQ Comparative Chart,Technical,ATTAC,Pritam Chand Sharma,12-Jun-2018 04:19 PM,None,1.0,85267.0,PURAN SHARMA GOVT CONT,26-May-2018 04:03 PM,Accepted-AOC,OK,22-Apr-2019 02:01 PM,MAAN SINGH,Internal,OK,Maan Singh,21-Apr-2019 08:31 PM,finsummary_30098.pdf (279.64 KB),22-Apr-2019,"INR 2,018,908",90.0,Maan Singh,22-Apr-2019 02:01 PM,21304.pdf (280.00 KB),OK,PWD,2018_PWD_21304_1,PW-KSG-E-TENDER/17-18 621-30 24.05.2018,Periodical maintenance on Kelodhar DPF Garjoob road VR-0001 (PMGSY) Providing and laying 25mm bituminous concrete including profile correction in Km. 14/0 to 15/0 and 17/0 to 18/0),P C SHARMA,Internal,,Pritam Chand Sharma,12-Jun-2018 04:55 PM,12-Jun-2018 05:00 PM,techsummary_30098.pdf (218.27 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Periodical maintenance on Kelodhar DPF Garjoob road VR-0001 (PMGSY) Providing and laying 25mm bituminous concrete including profile correction in Km. 14/0 to 15/0 and 17/0 to 18/0),Periodical maintenance on Kelodhar DPF Garjoob road VR-0001 (PMGSY) Providing and laying 25mm bituminous concrete including profile correction in Km. 14/0 to 15/0 and 17/0 to 18/0),Please refer Tender documents. ,NA ,"16,25,656",Repair and Maintenance Works,NA ,Tender,30.0,90.0,KELODHAR,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,PWD,PW-KSG-E-TENDER/17-18 621-30 24.05.2018,2018_PWD_21304_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,000",EE KARSOG,KARSOG,No,26-May-2018 10:00 AM,02-Jun-2018 12:00 PM,26-May-2018 10:00 AM,31-May-2018 10:00 AM,NA ,NA ,26-May-2018 10:00 AM,31-May-2018 10:00 AM,12-Jun-2018 05:00 PM,1.0,DD - Demand Draft,"31,900",No,fixed,,EE KARSOG,KARSOG,EE KARSOG,EE KARSOG,AOC
,,,,,,,,,,,,,,,,2.0,85384.0,SURESH SHARMA GOVT CONTRACTOR,28-May-2018 08:40 PM,Rejected-AOC,OK,22-Apr-2019 02:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD Indicated In Schedule F.(EMD not be made before 03.05.2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
