S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,PWD,Metalling and Tarring of Kiri Athluin road,2018_PWD_23837_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"31,160",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form ( as per schedule F ),Metalling and Tarring of Kiri Athluin road Km. 0/0 to 1/225,Metalling and Tarring of Kiri Athluin road Km. 0/0 to 1/225,Please refer Tender documents. ,NA ,"15,77,241",Civil Works,NA ,Tender,60.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,29-Sep-2018 05:00 PM,12-Oct-2018 11:30 AM,29-Sep-2018 05:00 PM,11-Oct-2018 05:00 PM,NA ,NA ,29-Sep-2018 05:00 PM,11-Oct-2018 05:00 PM,23-Oct-2018 11:30 AM,500.0,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,No,AOC,1.0,96871.0,Construction,INR,"3,680,477",Finance,Bid opening Summary,Jeet Singh Thakur,11-Apr-2019 04:50 PM,finance_33362.pdf,BOQ Comparative Chart,1.0,96871.0,Construction,05-Oct-2018 05:12 PM,Accepted-AOC,l1,11-Apr-2019 04:58 PM,Technical,Bid opening Summary,Jeet Singh Thakur,22-Oct-2018 02:33 PM,technical_33362.pdf,PWD,2018_PWD_23837_1,Metalling and Tarring of Kiri Athluin road,Metalling and Tarring of Kiri Athluin road Km. 0/0 to 1/225,Er. JS thakur,Internal,Assistant Engineer Superintendent Gr.II and Senior Assistant,Jeet Singh Thakur,22-Oct-2018 02:55 PM,23-Oct-2018 11:30 AM,techsummary_33362.pdf (262.46 KB),EE,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,11-Apr-2019 04:55 PM,finsummary_33362.pdf (17.33 KB),11-Apr-2019,"INR 3,753,365",180.0,Jeet Singh Thakur,11-Apr-2019 04:58 PM,92.AOC.pdf (212.00 KB),Metalling and Tarring of Kiri Athluin road Km. 0/0 to 1/225,AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( as per schedule F ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,96944.0,contrcter,06-Oct-2018 04:04 PM,Rejected-AOC,l2,11-Apr-2019 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not having two works in hand at time of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Own Mini Hot Mix Plant documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work forty percent estimated value work without L.D. last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
