EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"31,300",Yes,fixed,,EE Gohar,Gohar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,EEGohar,Gohar,Yes,Periodical Maintenance of Kot Devidarh road km. 0/0 to 19/0,SH Providing and laying Bituminous concrete 25 mm thick in single layer in km 11/0 to 13/0,Please refer Tender documents. ,NA ,"15,82,339",Civil Works - Buildings,NA ,Rate Contract,120.0,60.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,PWD,18500-25 dt. 15.1.2019,2019_PWD_26378_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EEHPPWDGohar,"Executive Engineer, Gohar division, HPPWD Gohar",1.0,DD - Demand Draft,30-Jan-2019 05:00 PM,15-Feb-2019 11:30 AM,30-Jan-2019 05:00 PM,14-Feb-2019 05:00 PM,NA ,NA ,30-Jan-2019 05:30 PM,14-Feb-2019 05:00 PM,22-Feb-2019 11:00 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,Finance,Financial Summary,Ramesh Singh,12-Apr-2019 01:08 PM,finance_37332.pdf,BOQ Comparative Chart,1.0,112616.0,A.A. ENTREPRENEURS,INR,"2,156,163.03",1.0,112616.0,A.A. ENTREPRENEURS,13-Feb-2019 08:54 PM,Accepted-AOC,Lowest,18-Apr-2019 12:43 PM,Technical,Technical Summery,Ramesh Singh,21-Feb-2019 02:59 PM,technical_37332.pdf,EE Ramesh Singh,Internal,"Chaman Lal AE, Rattan Lal Supdt.Bhagat Ram HDM",Ramesh Singh,21-Feb-2019 03:35 PM,22-Feb-2019 11:00 AM,techsummary_37332.pdf (374.43 KB),PWD,2019_PWD_26378_1,18500-25 dt. 15.1.2019,Periodical Maintenance of Kot Devidarh road km. 0/0 to 19/0,18-Apr-2019,"INR 1,582,339",30.0,Ramesh Singh,18-Apr-2019 12:43 PM,2.pdf (390.00 KB),AOC,EE Ramesh Singh,Internal,Kehar Singh Supdt. Bhagat Ram HDM,Ramesh Singh,12-Apr-2019 01:10 PM,finsummary_37332.pdf (270.67 KB),AOC
,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,2.0,112628.0,S.A ASSOCIATE,13-Feb-2019 09:34 PM,Rejected-AOC,2nd. lowest,18-Apr-2019 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40Precent Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
