Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
01-Apr-2019,"INR 409,650",90.0,Vijay Kumar Aggarwal,01-Apr-2019 02:49 PM,award81_795to81_810.PDF (704.00 KB),Award,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:23 PM,finsummary_36493.pdf (23.99 KB),Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 02:01 PM,12-Feb-2019 03:00 PM,techsummary_36493.pdf (3935.07 KB),PWD,2019_PWD_25940_4,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to NH 72B (New NH707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Construction of PCC retaining wall at RD 81/795 to 81/810),1.0,109636.0,ram lal,INR,"360,254",Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 12:06 PM,finance_36493.pdf,BOQ Comparative Chart,Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 01:22 PM,technical_36493.pdf,1,109432,Anil Sharma,28-Jan-2019 04:39 PM,Rejected-AOC,10th lowest,01-Apr-2019 02:49 PM,AOC,1.0,DD - Demand Draft,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE NH Division HPPWD Nahan,Nahan,No,Ordinary repair to NH 72B (New NH707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Construction of PCC retaining wall at RD 81/795 to 81/810),Ordinary repair to NH 72B (New NH707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Construction of PCC retaining wall at RD 81/795 to 81/810),refer tender document ,NA ,"4,09,650",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,"8,200",No,fixed,,EE NH Division HPPWD Nahan,Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,109733,Balbir Singh,29-Jan-2019 09:22 PM,Rejected-AOC,9th lowest,01-Apr-2019 02:49 PM,AOC,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,109294,bhajan singh,29-Jan-2019 02:42 PM,Rejected-AOC,9th lowest,01-Apr-2019 02:49 PM,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,109615,BIR SINGH,29-Jan-2019 04:38 PM,Rejected-Technical,Non responsive,12-Feb-2019 02:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,109668,chamel singh,29-Jan-2019 06:52 PM,Rejected-AOC,12th lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,109804,dinesh singta,30-Jan-2019 10:08 AM,Rejected-Technical,Non responsive,12-Feb-2019 02:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,109548,Inder Singh Pundir,29-Jan-2019 08:14 PM,Rejected-AOC,3rd lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,109655,Kuldeep Singh,29-Jan-2019 06:32 PM,Rejected-AOC,8th lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,109608,M/s BHAWAN SINGH,30-Jan-2019 10:22 AM,Rejected-AOC,7th lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,109339,Natta Ram,28-Jan-2019 09:05 PM,Rejected-AOC,2nd lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,109636,ram lal,29-Jan-2019 07:09 PM,Accepted-AOC,1st lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,109787,Rattan Singh Chauhan Contractor,30-Jan-2019 08:23 AM,Rejected-AOC,4th lowest,01-Apr-2019 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
