Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage
Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",Restoration of rain damages on Arla Lahla Bhaila road km 0/0 to 4/0,Construction of retaining wall in wire crate at km 1/395 to 1/420,Please refer to tender doucments ,NA ,"8,60,044",Civil Works - Roads,NA ,Tender,90.0,90.0,Arla,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,09-Jul-2018 10:00 AM,30-Jul-2018 11:30 AM,09-Jul-2018 10:00 AM,28-Jul-2018 05:00 PM,NA ,NA ,09-Jul-2018 10:00 AM,28-Jul-2018 05:00 PM,06-Aug-2018 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,1.0,DD - Demand Draft,"17,200",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,PWD,PW-JND-B and R-EA-I-NIT- 6053-6152 dt. 21.06.2018,2018_PWD_22185_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2018_PWD_22185_1,PW-JND-B and R-EA-I-NIT- 6053-6152 dt. 21.06.2018,Restoration of rain damages on Arla Lahla Bhaila road km 0/0 to 4/0,Er B. M. Thakur,Internal,AE Lad Bharol DAO Sudt. HDM,Bhag Mal Thakur,03-Aug-2018 01:21 PM,06-Aug-2018 11:00 AM,techsummary_31251.pdf (280.72 KB),1.0,90372.0,Prem Singh,28-Jul-2018 01:27 PM,Rejected-Finance,L-2,09-Apr-2019 03:59 PM,Technical,summary,Bhag Mal Thakur,01-Aug-2018 11:26 AM,technical_31251.pdf,Finance,fbosummary,Bhag Mal Thakur,07-Aug-2018 06:31 PM,finance_31251.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,90320.0,RAKESH SHARMA,27-Jul-2018 05:51 PM,Rejected-Technical,Rejected,03-Aug-2018 01:21 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,90363.0,Tej Singh,28-Jul-2018 12:38 PM,Accepted-AOC,AOC,16-Apr-2019 03:05 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
