Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
MAAN SINGH,Internal,,Maan Singh,11-Apr-2019 07:33 PM,finsummary_33685.pdf (310.71 KB),11-Apr-2019,"INR 3,865,582",365.0,Maan Singh,11-Apr-2019 08:16 PM,24103.pdf (311.00 KB),,PWD,2018_PWD_24103_1,PW-KSG-E-TENDER/18-19 7078-84,Construction of additional Accommodation for Govt. High . School Building at SHAKRA In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,MANN SINGH,Internal,,Chaman Singh,02-Nov-2018 03:22 PM,02-Nov-2018 03:30 PM,techsummary_33685.pdf (324.76 KB),Technical,ATTACH,Chaman Singh,02-Nov-2018 03:19 PM,technical_33685.pdf,1.0,98046.0,MOHAN SINGH NEGI GOVT CONT.,17-Oct-2018 03:56 PM,Rejected-Finance,REJECTED,11-Apr-2019 07:33 PM,1.0,98034.0,NITIN BHARDWAJ GOVT CONT,INR,"4,035,888.55",Finance,ATA,Chaman Singh,02-Nov-2018 06:06 PM,finance_33685.pdf,BOQ Comparative Chart,AOC,EE KARSOG,EE KARSOG,PWD,PW-KSG-E-TENDER/18-19 7078-84,2018_PWD_24103_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of additional Accommodation for Govt. High . School Building at SHAKRA In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,Construction of additional Accommodation for Govt. High . School Building at SHAKRA In Tehsil Karsog Distt Mandi Hp. Under RMSA(SHC/o Laboratory Three class room One store including stair case).,Please refer Tender documents. ,NA ,"26,32,195",Civil Works,NA ,Tender,30.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"46,983",No,fixed,,EE KARSOG,KARSOG,12-Oct-2018 06:00 PM,22-Oct-2018 12:00 PM,12-Oct-2018 06:00 PM,17-Oct-2018 06:00 PM,NA ,NA ,12-Oct-2018 06:00 PM,17-Oct-2018 06:00 PM,02-Nov-2018 03:30 PM,"1,500",EE KARSOG,KARSOG,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,98034.0,NITIN BHARDWAJ GOVT CONT,17-Oct-2018 02:05 PM,Accepted-AOC,OK,11-Apr-2019 08:16 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,98042.0,Vijay Sharma,17-Oct-2018 03:25 PM,Rejected-Technical,NOT ELIGLIBLE AS ENLISTMENT RULE 2015,02-Nov-2018 03:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,AOC
