Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,03-Apr-2019 02:04 PM,finsummary_36082.pdf (233.40 KB),03-Apr-2019,"INR 1,663,407",60.0,Ram Saroop Kalia,03-Apr-2019 02:07 PM,13.pdf (233.00 KB),Award letter,PWD,2019_PWD_25754_1,12419-31 Dated 19.11.2018,Const. of link road Hatli Beri to Jakhola,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,31-Jan-2019 11:28 AM,01-Feb-2019 11:00 AM,techsummary_36082.pdf (92.92 KB),Finance,bid opening summary,Ram Saroop Kalia,03-Apr-2019 02:02 PM,None,BOQ Comparative Chart,1.0,107406.0,Charanjit Sharma Govt Contractor,INR,"2,240,591",Technical,Technical evaluation summery,Ram Saroop Kalia,31-Jan-2019 11:26 AM,None,1.0,107406.0,Charanjit Sharma Govt Contractor,11-Jan-2019 04:09 PM,Accepted-AOC,Accept due to L-1,03-Apr-2019 02:07 PM,AOC,500.0,Executive EngineerHPPWDBangana,Executive EngineerHPPWDBangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),Executive EngineerHPPWDBangana,Executive EngineerHPPWDBangana,1.0,DD - Demand Draft,"32,500",No,fixed,,Executive EngineerHPPWDBangana,Executive EngineerHPPWDBangana,05-Jan-2019 04:00 PM,14-Jan-2019 11:30 AM,05-Jan-2019 04:00 PM,11-Jan-2019 05:00 PM,NA ,NA ,05-Jan-2019 04:00 PM,11-Jan-2019 05:00 PM,01-Feb-2019 11:00 AM,Const. of link road Hatli Beri to Jakhola,ConstofRwallsand PLinterlockingpaverblockinvariousRD00to0450,Please refer Tender documents. ,NA ,"16,63,407",Civil Works - Roads,NA ,Tender,120.0,60.0,Bangana,174307.0,NA ,NA ,NA ,Executive EngineerHPPWDBangana,No ,No,PWD,12419-31 Dated 19.11.2018,2019_PWD_25754_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107410.0,Mehar Chand,11-Jan-2019 04:25 PM,Rejected-AOC,Reject due to higher side from L-2,03-Apr-2019 02:07 PM,AOC,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
