Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
20-Apr-2019,"INR 6,645,920",180.0,Kamal Singh Pal,20-Apr-2019 01:23 PM,888.pdf (216.00 KB),AOC,Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,20-Apr-2019 01:21 PM,finsummary_38127.pdf (19.65 KB),Er K S Pal,Internal,EE Suptt Accountant HDM tender clerk,Yogesh Sharma,26-Feb-2019 03:28 PM,26-Feb-2019 03:30 PM,techsummary_38127.pdf (376.77 KB),PWD,2019_PWD_26816_6,PW.CHD.CB-E-9/2018 12846- 12945 DT 10.01.19,Periodical maintance of NERWA TO KHARACHALI road km 0/0 to 15/0,Technical,Bid opening Summary,Yogesh Sharma,26-Feb-2019 03:10 PM,technical_38127.pdf,1.0,112482.0,Lok Pal Rathour,13-Feb-2019 01:46 PM,Rejected-Finance,L-2,20-Apr-2019 01:21 PM,Finance,Bid Opening Summary,Kamal Singh Pal,20-Apr-2019 01:20 PM,finance_38127.pdf,BOQ Comparative Chart,1.0,112373.0,Uttej Rathour,INR,"6,645,920",AOC,"64,800",No,fixed,,EE Chopal,Chopal,06-Feb-2019 01:00 PM,14-Feb-2019 11:30 AM,06-Feb-2019 01:00 PM,13-Feb-2019 05:00 PM,NA ,NA ,06-Feb-2019 01:00 PM,13-Feb-2019 05:00 PM,26-Feb-2019 03:30 PM,"2,000",EE Chopal,Chopal,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,PWD,PW.CHD.CB-E-9/2018 12846- 12945 DT 10.01.19,2019_PWD_26816_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Chopal,HPPWD CHOPAL,Periodical maintance of NERWA TO KHARACHALI road km 0/0 to 15/0,SH Providing and laying renewal coat between km Rd. 4/0 to 8/0 under PMGSY.,Please refer Tender documents. ,NA ,"38,17,115",Civil Works - Roads,NA ,Tender,120.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112373.0,Uttej Rathour,12-Feb-2019 07:53 PM,Accepted-AOC,L-1,20-Apr-2019 01:23 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
