Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Attached,Vivek Sharma,06-Jan-2019 01:55 PM,finance_34097.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,17-Nov-2018 05:26 PM,technical_34097.pdf,1.0,99637.0,Parbhat Singh,07-Nov-2018 03:53 PM,Accepted-AOC,l1,19-Apr-2019 09:10 PM,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,19-Apr-2019 09:01 PM,finsummary_34097.pdf (551.11 KB),PWD,2018_PWD_24392_1,/O Chief Engineer residence HZ HP.PWD Hamirpur,/O Chief Engineer residence HZ HPPWD Hamirpur,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,17-Nov-2018 05:40 PM,19-Nov-2018 10:30 AM,techsummary_34097.pdf (1720.65 KB),AOC,1.0,DD - Demand Draft,"2,500",EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,/O Chief Engineer residence HZ HP.PWD Hamirpur,2018_PWD_24392_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,31-Oct-2018 06:00 PM,08-Nov-2018 11:30 AM,31-Oct-2018 06:00 PM,08-Nov-2018 10:30 AM,NA ,NA ,31-Oct-2018 06:00 PM,08-Nov-2018 10:30 AM,19-Nov-2018 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,/O Chief Engineer residence HZ HPPWD Hamirpur,SH C/O building portion Water supply and Sanitary installation and rain water Harvesting Tank,Please refer Tender documents. ,NA ,"60,06,404",Civil Works - Buildings,NA ,Tender,60.0,365.0,Nadaun Chowk Hamirpur Hamir Hotal,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"93,000",No,fixed,,EE Hamirpur,EE Hamirpur,AOC
,,,,,,,,,,,2.0,99653.0,SANJAY SHARMA,07-Nov-2018 05:32 PM,Rejected-AOC,l2,19-Apr-2019 09:10 PM,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3.0,99469.0,Surinder Pal Daroch,06-Nov-2018 10:18 PM,Rejected-Technical,Rejected,17-Nov-2018 05:40 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,4.0,99698.0,VIJAY KUMAR SHAMA PROP. VIJAY TRADERS,08-Nov-2018 09:53 AM,Rejected-AOC,l4,19-Apr-2019 09:10 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,5.0,99570.0,Yash Paul,06-Nov-2018 12:49 PM,Rejected-AOC,l3,19-Apr-2019 09:10 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Turn over certificate last five years,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery details,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
