Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer Jubbal,HPPWD JUBBAL,500.0,EE Jubbal,Jubbal,No,Providing Metalling and Tarring works to Tehtoli Standli Bajohaghat Road Km 5/0 to 7/300,Providing Metalling and Tarring works to Tehtoli Standli Bajohaghat Road Km 5/0 to 7/300 (SH P/L tarring work in Km 5/00 to 7/300),Please refer Tender documents. ,NA ,"17,67,157",Civil Works - Roads,NA ,Tender,120.0,90.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,1.0,DD - Demand Draft,18-Jun-2018 03:15 PM,25-Jun-2018 11:00 AM,18-Jun-2018 03:15 PM,23-Jun-2018 06:00 PM,NA ,NA ,18-Jun-2018 03:15 PM,23-Jun-2018 06:00 PM,20-Jul-2018 11:50 AM,"34,000",No,fixed,,EE Jubbal,Jubbal,PWD,PW-JD/E-Tender/2018-19 -2202-04 DT.24.5.18,2018_PWD_21711_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,20-Jul-2018 11:47 AM,20-Jul-2018 11:50 AM,techsummary_30696.pdf (246.61 KB),PWD,2018_PWD_21711_8,PW-JD/E-Tender/2018-19 -2202-04 DT.24.5.18,Providing Metalling and Tarring works to Tehtoli Standli Bajohaghat Road Km 5/0 to 7/300,17-Apr-2019,"INR 3,042,533",90.0,Prem Pal Sharma,17-Apr-2019 04:43 PM,5to7.pdf (679.00 KB),awarded,Er Rakesh Thakur,Internal,hdm dao supdt,Prem Pal Sharma,17-Apr-2019 04:38 PM,finsummary_30696.pdf (527.80 KB),1.0,87133.0,Ravinder Chauhan,22-Jun-2018 09:52 PM,Accepted-AOC,awarded,17-Apr-2019 04:43 PM,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,20-Jul-2018 11:31 AM,technical_30696.pdf,Finance,Financial Bid Opening Summary,Manoj Bhardwaj,20-Jul-2018 02:48 PM,finance_30696.pdf,BOQ Comparative Chart,1.0,87133.0,Ravinder Chauhan,INR,"3,042,533",AOC
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
