Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
C/O Bakhirna Mandli Kotsari road km 0/0 to 4/100,"(SH- C/O R/wall at RD 3/930 to 3/960,4/060 to 4/590,3/510 to 3/540,3/790 to 3/810,3/810 to 3/840,3/585 to 3/615 3/765 to 3/775)",Please refer Tender documents. ,NA ,"20,24,394",Civil Works - Roads,NA ,Tender,60.0,60.0,Rohru,171207.0,NA ,NA ,NA ,EE HPPWD Rohru,No ,No,EE HPPWD Rohru,EE B AND R DIVN HPPWD Rohru,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,"40,500",No,fixed,,EE Rohru,Rohru,500.0,EE Rohru,Rohru,No,PWD,PW/RD/GA/16569-16668DT31-01-19,2019_PWD_27710_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,21-Feb-2019 05:30 PM,27-Feb-2019 11:00 AM,21-Feb-2019 05:30 PM,26-Feb-2019 06:00 PM,NA ,NA ,21-Feb-2019 05:30 PM,26-Feb-2019 06:00 PM,08-Mar-2019 03:40 PM,1.0,DD - Demand Draft,AOC,1.0,115587.0,ATUL CHAUHAN,26-Feb-2019 02:03 PM,Accepted-AOC,L-1accepted,27-Apr-2019 11:53 AM,Technical,BID SUMMARY,Arvind Sharma,08-Mar-2019 03:34 PM,technical_39520.pdf,1.0,Revocation,REVOCATION TENDER ID CORECTION,08-Mar-2019 01:24 PM,Kotsari6-3-19.pdf ,72.99,Technical Opening,Finance,Bid Opening Summary,Manoj Bhardwaj,22-Apr-2019 02:15 PM,finance_39520.pdf,BOQ Comparative Chart,1.0,115587.0,ATUL CHAUHAN,INR,"4,059,952",PWD,2019_PWD_27710_1,PW/RD/GA/16569-16668DT31-01-19,C/O Bakhirna Mandli Kotsari road km 0/0 to 4/100,KAMAL SINGH PAL,Internal,NARENDAR NAIK,Arvind Sharma,08-Mar-2019 03:36 PM,08-Mar-2019 03:40 PM,techsummary_39520.pdf (96.70 KB),Ravi Bhatti,Internal,Narendar Naik,Arvind Sharma,27-Apr-2019 11:46 AM,finsummary_39520.pdf (72.77 KB),27-Apr-2019,"INR 4,059,952",60.0,Arvind Sharma,27-Apr-2019 11:53 AM,MandliK.pdf (138.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,115605.0,Mohmad Zakir Husain,26-Feb-2019 02:27 PM,Accepted-AOC,L-2Rejected,27-Apr-2019 11:53 AM,,,,,,2.0,Revocation TENDER,REVOCATION TENDER ID CHANGE,08-Mar-2019 03:29 PM,Kotsari.pdf ,76.19,Technical Opening,,,,,,,2.0,115605.0,Mohmad Zakir Husain,INR,0,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
