Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,MT on BBMB Colony to Sushan Jawala road km.0/0 to 3/700,MT on BBMB Colony to Sushan Jawala road km 0 0 to 3 700 SHROFD R Walls U Shape Drain and Parapets etc in km0/0 to 3/700Under NABARD RIDFXXIV,Please refer Tender documents. ,NA ,"84,77,958",Civil Works,NA ,Rate Contract,120.0,NA ,Gohar,175029.0,NA ,NA ,NA ,EE HPPWD.Gohar Division,No ,No,1.0,DD - Demand Draft,26-Nov-2018 05:00 PM,13-Dec-2018 11:30 AM,26-Nov-2018 05:00 PM,12-Dec-2018 05:00 PM,NA ,NA ,26-Nov-2018 05:30 PM,12-Dec-2018 05:00 PM,26-Dec-2018 11:00 AM,Executive Engineer Gohar Division HP.PWD.Gohar,Executive Engineer Gohar Division HP.PWD.Gohar,"2,000",EE Gohar,Gohar,Yes,"1,17,300",Yes,fixed,,EE Gohar,Gohar,PWD,14445-84 dt. 20.11.2018,2018_PWD_24807_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2018_PWD_24807_1,14445-84 dt. 20.11.2018,MT on BBMB Colony to Sushan Jawala road km.0/0 to 3/700,"Er.Ramesh Singh EE,",Internal,"Er.Chaman Lal AE,Bhagat Ram HDM,Rattan lal Supdt.Gr-II",Bishwjeet Singh,21-Dec-2018 03:06 PM,26-Dec-2018 11:00 AM,techsummary_34699.pdf (349.29 KB),EE Ramesh Singh,Internal,"Chaman Lal A.E., Kehar Singh Supdt.,Bhagat Ram HDM",Ramesh Singh,16-Apr-2019 12:39 PM,finsummary_34699.pdf (285.11 KB),16-Apr-2019,"INR 8,477,958",270.0,Ramesh Singh,16-Apr-2019 01:02 PM,a.pdf (349.00 KB),AOC,1.0,103185.0,Jai Singh,12-Dec-2018 11:13 AM,Rejected-AOC,Second Losest,16-Apr-2019 01:02 PM,Technical,Technical Summary,Bishwjeet Singh,21-Dec-2018 02:57 PM,technical_34699.pdf,Finance,Financial Summary,Ramesh Singh,16-Apr-2019 12:36 PM,finance_34699.pdf,BOQ Comparative Chart,1.0,103240.0,Parveen Construction,INR,"11,068,591.85",AOC
,,.pdf,Earnest Money indicated in schedule-F,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,103181.0,Parma Nand,12-Dec-2018 09:11 AM,Rejected-AOC,Third Lowest,16-Apr-2019 01:02 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,103240.0,Parveen Construction,12-Dec-2018 04:48 PM,Accepted-AOC,Lowest,16-Apr-2019 01:02 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding no relative working in department,4,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of technical Manpower,5,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of litigation case,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done and work in hand certificate (Gen. Rule 19) Shown in schedule-F,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery tool plant shown in schedule-F with reference to clause-18,8,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Valid Labour license,9,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration (Refer General Rule No. 23),10,Machinery Details ,Machinery Lease/Hire agreement copy ,Machinery Lease/Hire agreement copy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the contractor has not more than two work in hand,11,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Sale Tax /GST Registration Refer General Rule-No-21,12,Man Power Details ,Affidavit Details ,Affidavit Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,13,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Bid Documents,14,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,15,Work Details ,Quantity of Work Done ,Quantity of Work Done Details ,HP_QuantityWorkDone.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,16,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
