Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bid Opening Summary,Deepak Raj Chauhan,16-Oct-2018 02:21 PM,technical_33562.pdf,1.0,97750.0,BAL KRISHAN,14-Oct-2018 03:38 PM,Rejected-Finance,L-2,30-Apr-2019 04:04 PM,Finance,Bid Opening Summary,Deepak Raj Chauhan,02-Nov-2018 01:13 PM,finance_33562.pdf,BOQ Comparative Chart,1.0,97790.0,Rajesh Kumar Sharma,INR,"11,514,044",30-Apr-2019,"INR 11,514,044",365.0,Deepak Raj Chauhan,30-Apr-2019 04:08 PM,51A.pdf (1539.00 KB),AOC,Er. Deepak Raj Chauhan,Internal,,Deepak Raj Chauhan,30-Apr-2019 04:04 PM,finsummary_33562.pdf (19.88 KB),Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Deepak Sharma DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,02-Nov-2018 12:25 PM,02-Nov-2018 12:30 PM,techsummary_33562.pdf (218.29 KB),PWD,2018_PWD_24015_2,PW-SRDD-CB-CTR / 2018-19- 11072 DT.19.9.18,Construction of Govt Senior Secondary School building at Thailla Tehsil- Sunni District-Shimla H.P.,AOC,Construction of Govt Senior Secondary School building at Thailla Tehsil- Sunni District-Shimla H.P.,"SH-Construction of civil portion, W.S. and S.I. installation, Rain water harvesting tank, Septic tank and Site development etc.",Please refer Tender documents. ,NA ,"78,45,769",Civil Works - Buildings,NA ,Tender,120.0,365.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,EE Dhami,Shimla Rural Divison HPPWD Dhami,09-Oct-2018 04:00 PM,16-Oct-2018 11:00 AM,09-Oct-2018 04:00 PM,15-Oct-2018 05:00 PM,NA ,NA ,09-Oct-2018 04:00 PM,15-Oct-2018 05:00 PM,02-Nov-2018 12:30 PM,1.0,DD - Demand Draft,PWD,PW-SRDD-CB-CTR / 2018-19- 11072 DT.19.9.18,2018_PWD_24015_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,11,000",No,fixed,,EE Dhami,Dhami,"2,000",EE Dhami,Dhami,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC
,,,,,2.0,97790.0,Rajesh Kumar Sharma,15-Oct-2018 04:04 PM,Accepted-AOC,L-1,30-Apr-2019 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC
