Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Apr-2019,"INR 1,619,045",60.0,Arvind Kumar,25-Apr-2019 03:40 PM,Award.pdf (374.00 KB),Award of Contract,Er Kulbir Thakur EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri naresh Kumar HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,25-Apr-2019 03:38 PM,finsummary_29705.pdf (129.59 KB),Er kulbir Singh Thakur EE Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM Smt Rekha Kashyap supdt Grade II and Shri Rajkumar clerk,Kulbir Singh Thakur,10-May-2018 12:02 PM,10-May-2018 12:05 PM,techsummary_29705.pdf (40.30 KB),PWD,2018_PWD_21016_1,556-63 dated 10.04.2017 Periodical renewal Chailla,Periodical renewal under AMP for the Year 201819 on Chailla Neripul Yashwant Nagar Oachghat kumarhatti road Km62/0 to 75/375 SH providing and laying BC in Km64/0 to 65/0,Technical,Bid opening summary,Kulbir Singh Thakur,10-May-2018 12:00 PM,technical_29705.pdf,1.0,84028.0,naresh vij govt contractor,10-May-2018 07:16 AM,Accepted-AOC,Ok,25-Apr-2019 03:40 PM,1.0,84028.0,naresh vij govt contractor,INR,"1,740,412",Finance,Financial bid opening summary,Kulbir Singh Thakur,10-May-2018 12:31 PM,finance_29705.pdf,BOQ Comparative Chart,AOC,04-May-2018 10:00 AM,10-May-2018 11:00 AM,04-May-2018 10:00 AM,10-May-2018 10:00 AM,NA ,NA ,04-May-2018 10:00 AM,10-May-2018 10:00 AM,10-May-2018 12:05 PM,1.0,DD - Demand Draft,Periodical renewal under AMP for the Year 201819 on Chailla Neripul Yashwant Nagar Oachghat kumarhatti road Km62/0 to 75/375 SH providing and laying BC in Km64/0 to 65/0,Periodical renewal under AMP for the Year 201819 on Chailla Neripul Yashwant Nagar Oachghat kumarhatti road Km62/0 to 75/375 SH providing and laying BC in Km64/0 to 65/0,Please refer Tender documents. ,NA ,"14,04,445",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,PWD,556-63 dated 10.04.2017 Periodical renewal Chailla,2018_PWD_21016_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"29,000",No,fixed,,EE B and D Division HPPWD Solan,EE Solan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,EE B and R Solan,EE B and R Division HPPWD Solan,500.0,EE B and R Division HPPWD Solan,EE Solan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,AOC
