Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bid Openeing Summary,Manoj Kumar Sehgal,01-Feb-2019 03:24 PM,None,1.0,109828.0,Balwant Singh,30-Jan-2019 11:49 AM,Accepted-AOC,ACCEPTED,27-Apr-2019 04:27 PM,Finance,Bid Opening Summary,Manoj Bhardwaj,22-Apr-2019 02:05 PM,finance_36988.pdf,BOQ Comparative Chart,1.0,109828.0,Balwant Singh,INR,"1,350,728",27-Apr-2019,"INR 1,350,728",90.0,Arvind Sharma,27-Apr-2019 04:27 PM,CHAMSU19.pdf (147.00 KB),AWARD LETTER,Ravi Bhatti,Internal,Narendar Naik,Arvind Sharma,27-Apr-2019 12:37 PM,finsummary_36988.pdf (68.32 KB),Umesh Sharma,Internal,narender naik,Umesh Sharma,07-Feb-2019 02:39 PM,07-Feb-2019 03:45 PM,techsummary_36988.pdf (93.55 KB),PWD,2019_PWD_26185_1,PW/RD/CB/14242-341DT-2-1-19,C/O Mehandli Sandour Chamsu road km 0/0 to 5/0,AOC,"19,700",No,fixed,,EE Rohru,Rohru,23-Jan-2019 04:30 PM,31-Jan-2019 11:00 AM,23-Jan-2019 04:30 PM,30-Jan-2019 06:00 PM,NA ,NA ,23-Jan-2019 04:30 PM,30-Jan-2019 06:00 PM,07-Feb-2019 03:45 PM,PWD,PW/RD/CB/14242-341DT-2-1-19,2019_PWD_26185_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O Mehandli Sandour Chamsu road km 0/0 to 5/0,SH- F/C 5/7mtr wide road km 2/0 to 2/435,Please refer Tender documents. ,NA ,"9,82,995",Civil Works - Roads,NA ,Tender,60.0,90.0,Rohru,171207.0,NA ,NA ,NA ,EE HPPWD Rohru,No ,No,350.0,EE Rohru,Rohru,No,1.0,DD - Demand Draft,EE HPPWD Rohru,EE B AND R DIVN HPPWD Rohru,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,AOC
,,,,,2.0,109423.0,Lokinder Dhanta,28-Jan-2019 04:42 PM,Rejected-Finance,rejected,27-Apr-2019 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,EARNEST MONEY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,AOC
