Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,TechnicalBidOpeningSummary,Bhupinder Singh,06-Mar-2019 12:57 PM,technical_39685.pdf,1.0,116512.0,bakshiram govt contractor,28-Feb-2019 07:17 PM,Accepted-AOC,ok,29-Apr-2019 02:53 PM,Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,11-Mar-2019 03:23 PM,finance_39685.pdf,BOQ Comparative Chart,1.0,116512.0,bakshiram govt contractor,INR,"1,682,249",Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Devinder Singh, Head Draughtsman , Jagpal Singh Supdt Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,11-Mar-2019 06:50 PM,finsummary_39685.pdf (590.11 KB),27-Apr-2019,"INR 1,535,639",30.0,Bhupinder Singh,29-Apr-2019 02:53 PM,Awardletter.PDF (1461.00 KB),Awardletter,PWD,2019_PWD_27793_1,Job 6 Periodical maintenance of link road to villa,Job 6 Periodical maintenance of link road to village Dharampur from Jaijon road Sub Head Providing and laying 25mm thick bituminous concrete in km. 0-0 to 1-925 HP1203 VR002853101 and 102 Under PMGSY,Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE Des Raj Katna AE Devinder Singh, Head Draughtsman , Jagpal Singh Supdt Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,06-Mar-2019 02:48 PM,06-Mar-2019 04:00 PM,techsummary_39685.pdf (762.11 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"30,700",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,1.0,FDR - Fixed Deposit,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,PWD,Job 6 Periodical maintenance of link road to villa,2019_PWD_27793_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",23-Feb-2019 04:00 PM,02-Mar-2019 11:00 AM,23-Feb-2019 04:30 PM,01-Mar-2019 05:00 PM,NA ,NA ,23-Feb-2019 04:30 PM,01-Mar-2019 05:00 PM,06-Mar-2019 04:00 PM,Job 6 Periodical maintenance of link road to village Dharampur from Jaijon road Sub Head Providing and laying 25mm thick bituminous concrete in km. 0-0 to 1-925 HP1203 VR002853101 and 102 Under PMGSY,Job 6 Periodical maintenance of link road to village Dharampur from Jaijon road Sub Head Providing and laying 25mm thick bituminous concrete in km. 0-0 to 1-925 HP1203 VR002853101 and 102 Under PMGSY,Please refer to Bidding Documents ,NA ,"15,35,639",Civil Works - Roads,NA ,Tender,120.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Machinery Tool Plant and list of laboratory equipments as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
