Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Construction of link road from Chanehar to Samoun village via Kufru Km. 0/0 to 2/0 in G.P. Bihun Tehsil Joginder Nagar District Mandi (H.P.) under OTMNP,Providing and laying soling Grade-I in Km. 0/0 to 2/0,As per bid documents ,NA ,"6,80,812",Civil Works - Roads,NA ,Tender,120.0,90.0,Chanehar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT-15067-15166 dt. 22.10.2018,2018_PWD_24454_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Nov-2018 05:00 PM,16-Nov-2018 11:30 AM,03-Nov-2018 05:00 PM,15-Nov-2018 05:00 PM,NA ,NA ,03-Nov-2018 05:00 PM,15-Nov-2018 05:00 PM,22-Nov-2018 11:00 AM,1.0,DD - Demand Draft,"13,600",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC,Er B.M. Thakur,Internal,AE Joginder Nagar Sr.DAO D.Man Sudpt.,Bhag Mal Thakur,20-Nov-2018 04:49 PM,22-Nov-2018 11:00 AM,techsummary_34176.pdf (254.04 KB),PWD,2018_PWD_24454_1,PW-JND-B and R-EA-I-NIT-15067-15166 dt. 22.10.2018,Construction of link road from Chanehar to Samoun village via Kufru Km. 0/0 to 2/0 in G.P. Bihun Tehsil Joginder Nagar District Mandi (H.P.) under OTMNP,16-Apr-2019,"INR 1,695,436",90.0,Bhag Mal Thakur,16-Apr-2019 04:13 PM,AOC454.pdf (439.00 KB),AOC,Er. B.M.Thakur,Internal,AE Joginder Nagar Supdt. D.Man,Bhag Mal Thakur,09-Apr-2019 04:35 PM,finsummary_34176.pdf (305.71 KB),Finance,fbosummary,Bhag Mal Thakur,22-Nov-2018 02:55 PM,finance_34176.pdf,BOQ Comparative Chart,1.0,100309.0,Pawan Kumar,INR,"1,695,436",1.0,100309.0,Pawan Kumar,15-Nov-2018 01:43 PM,Accepted-AOC,AOC,16-Apr-2019 04:13 PM,Technical,summary,Bhag Mal Thakur,17-Nov-2018 11:48 AM,technical_34176.pdf,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100336.0,Prithi Raj Thakur,15-Nov-2018 04:14 PM,Rejected-Finance,L-2,09-Apr-2019 04:35 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
