Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
01-Apr-2019,"INR 166,224",90.0,Vijay Kumar Aggarwal,01-Apr-2019 02:53 PM,award87_120to87_300.PDF (698.00 KB),Award,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:26 PM,finsummary_36494.pdf (21.36 KB),Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 02:04 PM,12-Feb-2019 03:00 PM,techsummary_36494.pdf (1866.50 KB),PWD,2019_PWD_25940_5,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to NH 72 (New NH 07) Kala Amb Paonta Sahib Dehradun road Km 46/0 to 103/0 (SH Providing and Laying RCC slab over existing Nallah of NH 72 between Km 87/120 to 87/300 (RHS),Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 12:07 PM,finance_36494.pdf,BOQ Comparative Chart,1.0,109673.0,NASEEM AHMED,INR,"138,963",Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 01:23 PM,technical_36494.pdf,1.0,109691.0,Ashwani kumar,29-Jan-2019 07:38 PM,Rejected-AOC,3rd lowest,01-Apr-2019 02:53 PM,AOC,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),"3,500",No,fixed,,EE NH Division HPPWD Nahan,Nahan,Ordinary repair to NH 72 (New NH 07) Kala Amb Paonta Sahib Dehradun road Km 46/0 to 103/0 (SH Providing and Laying RCC slab over existing Nallah of NH 72 between Km 87/120 to 87/300 (RHS),Ordinary repair to NH 72 (New NH 07) Kala Amb Paonta Sahib Dehradun road Km 46/0 to 103/0 (SH Providing and Laying RCC slab over existing Nallah of NH 72 between Km 87/120 to 87/300 (RHS),refer tender document ,NA ,"1,66,224",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,350.0,EE NH Division HPPWD Nahan,Nahan,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109780.0,hement,30-Jan-2019 07:48 AM,Rejected-AOC,2nd lowest,01-Apr-2019 02:53 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109673.0,NASEEM AHMED,29-Jan-2019 07:07 PM,Accepted-AOC,1st lowest,01-Apr-2019 02:53 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,109337.0,Natta Ram,28-Jan-2019 09:07 PM,Rejected-AOC,6th lowest,01-Apr-2019 02:53 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,109724.0,Nikhil,29-Jan-2019 08:58 PM,Rejected-AOC,4th lowest,01-Apr-2019 02:53 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,108635.0,Saddam Engineering,29-Jan-2019 08:43 PM,Rejected-AOC,5th lowest,01-Apr-2019 02:53 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
