Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"AMP for the year 2018-19 for State VR and MRL road (Additionality). (SH- Providing and laying, 25mm thick Bituminous concrete on link road Baner Zakatkhana road Km. 2/0 to 7/0 (DRRP No. HP 010 VR0075).","AMP for the year 2018-19 for State VR and MRL road (Additionality). (SH- Providing and laying, 25mm thick Bituminous concrete on link road Baner Zakatkhana road Km. 2/0 to 7/0 (DRRP No. HP 010 VR0075).",refer in SBD ,NA ,"34,98,792",Civil Works,NA ,Tender,90.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,EE Bilaspur Division No. 2 HPPWD Bilaspur,No ,No,"1,500",EE Bilaspur Division No. 2 HPPWD Bilaspur,Bilaspur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money refer in Schedule F,1.0,DD - Demand Draft,1.0,Date Corrigendum,Date,,22-Dec-2018 10:00 AM,07-Jan-2019 11:30 AM,22-Dec-2018 10:00 AM,07-Jan-2019 10:30 AM,NA ,NA ,22-Dec-2018 10:00 AM,07-Jan-2019 10:30 AM,14-Jan-2019 04:00 PM,EE Bilaspur Division No. 2 HPPWD Bilaspur,O/o EE Bilaspur Division No. 2 HPPWD Bilaspur,"60,000",No,fixed,,EE Bilaspur Division No. 2 HPPWD Bilaspur,Bilaspur,PWD,PW-NBT/CB/Tender/2018/13884-87 dated 30.11.2018,2018_PWD_25493_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Executive Engineer,Internal,SUPDT HDM AETOEE,Atma Ram Kalia,14-Jan-2019 03:52 PM,14-Jan-2019 04:00 PM,techsummary_35719.pdf (1304.04 KB),PWD,2018_PWD_25493_4,PW-NBT/CB/Tender/2018/13884-87 dated 30.11.2018,"AMP for the year 2018-19 for State VR and MRL road (Additionality). (SH- Providing and laying, 25mm thick Bituminous concrete on link road Baner Zakatkhana road Km. 2/0 to 7/0 (DRRP No. HP 010 VR0075).",25-Apr-2019,"INR 3,498,792",90.0,Atma Ram Kalia,25-Apr-2019 08:57 AM,aoc337.PDF (1263.00 KB),Sward letter dated 08.03.2019,Executive Engineer,Internal,SUPDT HDM AETOEE,Atma Ram Kalia,18-Jan-2019 03:41 PM,finsummary_35719.pdf (679.27 KB),1.0,106967.0,M/s Geeta Ram Subhash Chand Garg,06-Jan-2019 10:42 PM,Accepted-AOC,Due to L1,25-Apr-2019 08:57 AM,Technical,Technical Bid Open Summary,Atma Ram Kalia,14-Jan-2019 03:49 PM,technical_35719.pdf,Finance,Technical Bid Open Summary,Atma Ram Kalia,18-Jan-2019 03:25 PM,finance_35719.pdf,BOQ Comparative Chart,1.0,106967.0,M/s Geeta Ram Subhash Chand Garg,INR,"4,018,315",AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration refer General rule No 23,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,105912.0,Ravinder Kumar Gupta,05-Jan-2019 04:42 PM,Rejected-Finance,Due to L2,18-Jan-2019 03:41 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and EPF refer General rule No 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate refer General rule No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, Tool, Plant refer in Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate/affidavit may be uploaded of not more than two works in HPPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over during last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
