Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib Distt. Sirmour (HP).,1.0,DD - Demand Draft,06-Feb-2019 05:30 PM,20-Feb-2019 11:30 AM,06-Feb-2019 05:30 PM,20-Feb-2019 11:00 AM,NA ,NA ,06-Feb-2019 05:30 PM,20-Feb-2019 11:00 AM,27-Feb-2019 03:15 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,500.0,EE PWD Paonta Sahib,Paonta Sahib,Yes,Periodical renewal on Dhaulakuan to Mehat road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 1/0 to 3/0) under AMP (PMGSY Roads) for the year 2019-20 ).,Periodical renewal on Dhaulakuan to Mehat road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 1/0 to 3/0) under AMP (PMGSY Roads) for the year 2019-20 ).,Please refer tender document ,NA ,"18,79,094",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,PWD,CB/Tender/2018-19-12123-12172 dt 21.01.2019,2019_PWD_26789_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"35,700",Yes,fixed,,EE PWD Paonta Sahib,Paonta Sahib,1.0,Date extended,Date,,AOC,Finance,summary,Ajay Kumar Sharma,01-Apr-2019 05:04 PM,finance_38193.pdf,BOQ Comparative Chart,1.0,111869.0,Chanana Cont. Works,INR,"2,243,306.65",1.0,112063.0,ARVIND KUMAR BANSAL,11-Feb-2019 06:31 PM,Rejected-Technical,Not Qualified,27-Feb-2019 01:14 PM,Technical,Bid Opening Summary,Dalip Singh Tomar,27-Feb-2019 01:13 PM,technical_38193.pdf,PWD,2019_PWD_26789_7,CB/Tender/2018-19-12123-12172 dt 21.01.2019,Periodical renewal on Dhaulakuan to Mehat road (SH Providing and laying 25 mm thick compacted bituminous concrete including repair of pot holes and profile correction in km 1/0 to 3/0) under AMP (PMGSY Roads) for the year 2019-20 ).,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,27-Feb-2019 01:14 PM,27-Feb-2019 03:15 PM,techsummary_38193.pdf (909.61 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,01-Apr-2019 05:10 PM,finsummary_38193.pdf (326.93 KB),01-Apr-2019,"INR 1,879,094",90.0,Ajay Kumar Sharma,01-Apr-2019 05:18 PM,aoc.pdf (778.00 KB),AOC,AOC
,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,111869.0,Chanana Cont. Works,10-Feb-2019 07:37 PM,Accepted-AOC,L1,01-Apr-2019 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,111988.0,S.S. Associates,11-Feb-2019 04:11 PM,Rejected-AOC,L2,01-Apr-2019 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Along with proof of ownership/Affidavit hire basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
