Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
PWD,2018_PWD_23575_1,No.PW.THD/CB/Tender/18-6510-21 dt. 30-8-2018,Annual maintenance plan of Shilaroo to Manan Raog Road km 0.0 to 4.0 SH P.L renewal coat between Km RD 0.0 to 2.0 for the year 2018.19,Technical,summary,Satish Chand,27-Sep-2018 11:59 AM,technical_32948.pdf,1.0,95392.0,Bal Krishan Verma,22-Sep-2018 01:48 PM,Rejected-Technical,Non Responsive,01-Oct-2018 05:03 PM,AOC,Annual maintenance plan of Shilaroo to Manan Raog Road km 0.0 to 4.0 SH P.L renewal coat between Km RD 0.0 to 2.0 for the year 2018.19,Annual maintenance plan of Shilaroo to Manan Raog Road km 0.0 to 4.0 SH P.L renewal coat between Km RD 0.0 to 2.0 for the year 2018.19,Please refer Tender documents. ,NA ,"13,21,966",Civil Works - Roads,NA ,Tender,90.0,90.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,"Executive Engineer,",HP PWD Division Theog,500.0,"Executive Engineer, HP PWD Division Theog",HP PWD Division Theog,No,"26,500",No,fixed,,Executive Engineer HP PWD Division Theog,HP PWD Division Theog,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,15-Sep-2018 01:00 PM,27-Sep-2018 11:00 AM,15-Sep-2018 01:00 PM,24-Sep-2018 06:00 PM,NA ,NA ,15-Sep-2018 01:00 PM,24-Sep-2018 06:00 PM,03-Oct-2018 03:00 PM,PWD,No.PW.THD/CB/Tender/18-6510-21 dt. 30-8-2018,2018_PWD_23575_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2.0,95559.0,BITTU RATHOR,24-Sep-2018 02:38 PM,Accepted-AOC,Responsive,10-Apr-2019 04:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,95400.0,DUNI CHAND VERMA,22-Sep-2018 02:46 PM,Rejected-Technical,Non Responsive,01-Oct-2018 05:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4.0,95553.0,Manoj Sharma,24-Sep-2018 02:53 PM,Rejected-Finance,Non Responsive,10-Apr-2019 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EPF registration (refer Genral Rule No.25(A) .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
