Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. B.M.Thakur,Internal,AE Joginder Nagar Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 04:17 PM,finsummary_32634.pdf (295.24 KB),11-Apr-2019,"INR 787,815",90.0,Bhag Mal Thakur,11-Apr-2019 03:46 PM,AOC319.pdf (441.00 KB),AOC,PWD,2018_PWD_23319_1,PW-JND-B and R-EA-I-NIT-11057-11156 dt. 24.08.2018,Periodical Maintenance of Raja Bharola Nagan road (VR-0128) under Annual Maintenance Plan for the year 2018-19,Er B.M. Thakur,Internal,AE Joginder Nagar DAO Supdt. HDM,Bhag Mal Thakur,27-Sep-2018 05:08 PM,29-Sep-2018 11:00 AM,techsummary_32634.pdf (272.50 KB),1.0,94990.0,Prem Singh,INR,"787,815",Finance,fbosummary,Bhag Mal Thakur,29-Sep-2018 11:39 AM,finance_32634.pdf,BOQ Comparative Chart,Technical,summary,Bhag Mal Thakur,20-Sep-2018 04:10 PM,technical_32634.pdf,1.0,95082.0,Ajay Kumar,19-Sep-2018 12:12 PM,Rejected-Finance,L-3,09-Apr-2019 04:17 PM,AOC,PWD,PW-JND-B and R-EA-I-NIT-11057-11156 dt. 24.08.2018,2018_PWD_23319_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,DD - Demand Draft,06-Sep-2018 10:00 AM,20-Sep-2018 11:30 AM,06-Sep-2018 10:00 AM,19-Sep-2018 05:00 PM,NA ,NA ,06-Sep-2018 10:00 AM,19-Sep-2018 05:00 PM,29-Sep-2018 11:00 AM,Periodical Maintenance of Raja Bharola Nagan road (VR-0128) under Annual Maintenance Plan for the year 2018-19,Providing and laying cement concrete pavement in km 0/375 to 0/775,As per bid documents ,NA ,"6,58,018",Civil Works - Roads,NA ,Tender,120.0,90.0,Chauntra,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"13,200",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,95106.0,Deepika Devi,19-Sep-2018 01:55 PM,Rejected-Finance,L-2,09-Apr-2019 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,94990.0,Prem Singh,18-Sep-2018 06:29 PM,Accepted-AOC,AOC,11-Apr-2019 03:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
