S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DD - Demand Draft,PWD,MDII-BLACK SPOT ON MANDI REWALSAR 20/890,2018_PWD_24768_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,"16,620",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,- Improvement of black spot on Mandi Rewalsar Kalkhar road Km. 0/0 to 29/0,"Improvement of black spot by providing and erecting W metal beam crash barrier at RDs 20/280 to 20/380,20/820 to20/992 Extension of 900 mm dia RCC Hume pipe culvert at RD 20/890 with wing wall",Please refer Tender documents. ,NA ,"8,30,796",Civil Works,NA ,Tender,120.0,91.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,21-Nov-2018 05:00 PM,04-Dec-2018 11:30 AM,21-Nov-2018 05:00 PM,04-Dec-2018 10:45 AM,NA ,NA ,21-Nov-2018 05:00 PM,04-Dec-2018 10:45 AM,06-Dec-2018 03:40 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",AOC,ER PRADEEP SINGH,Internal,HDM SUPDT AE TO EE DAO,Pradeep Singh,06-Dec-2018 03:32 PM,06-Dec-2018 03:40 PM,techsummary_34646.pdf (255.35 KB),PWD,2018_PWD_24768_1,MDII-BLACK SPOT ON MANDI REWALSAR 20/890,- Improvement of black spot on Mandi Rewalsar Kalkhar road Km. 0/0 to 29/0,23-Apr-2019,"INR 946,123",91.0,Pradeep Singh,23-Apr-2019 03:03 PM,2018_PWD_24768_1.pdf (109.00 KB),ER PRADEEP SINGH,Internal,HDM SUPDT DAO AE TO EE,Pradeep Singh,03-Jan-2019 01:17 PM,finsummary_34646.pdf (117.79 KB),Finance,financialSummary,Pradeep Singh,19-Dec-2018 12:09 PM,finance_34646.pdf,BOQ Comparative Chart,1.0,101793.0,TEJ LAL,INR,"946,123",1.0,102195.0,AJAY JAMWAL,03-Dec-2018 06:00 PM,Rejected-Finance,2,03-Jan-2019 01:17 PM,Technical,Summary,Pradeep Singh,06-Dec-2018 03:14 PM,technical_34646.pdf,AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,102172.0,AKSHAY KUMAR,03-Dec-2018 05:00 PM,Rejected-Technical,NON Responsive,06-Dec-2018 03:32 PM,,,,,,AOC
3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,102153.0,CRC Construction,03-Dec-2018 03:54 PM,Rejected-Technical,NON Responsive,06-Dec-2018 03:32 PM,,,,,,AOC
4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,102262.0,HARJENDER SINGH,04-Dec-2018 09:56 AM,Rejected-Technical,NON Responsive,06-Dec-2018 03:32 PM,,,,,,AOC
5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,101793.0,TEJ LAL,28-Nov-2018 12:44 PM,Accepted-AOC,1,23-Apr-2019 03:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,102270.0,Tek Chand,04-Dec-2018 10:32 AM,Rejected-Finance,3,03-Jan-2019 01:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
