Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,3868-71 dated 21.08.2018,2018_PWD_23441_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"5,000",EE Karcham,Karcham/ Bhabanagar,Yes,1.0,DD - Demand Draft,Construction of link road from Rangle to Miroo km 0.0000 to 4.705. SH C.O. formation cutting 5 7 mtr. Wide road including R.wall and B.wall CD work C.O. parapet and dumping structure km 0.000 to 4.705 under Nabard RIDF XXIII,Construction of link road from Rangle to Miroo km 0.0000 to 4.705. SH C.O. formation cutting 5 7 mtr. Wide road including R.wall and B.wall CD work C.O. parapet and dumping structure km 0.000 to 4.705 under Nabard RIDF XXIII,Please refer Tender documents. ,NA ,"1,95,27,847",Civil Works - Roads,NA ,Tender,90.0,540.0,Karchham,172105.0,NA ,NA ,NA ,Karchham Division,No ,No,11-Sep-2018 03:30 PM,17-Sep-2018 11:00 AM,11-Sep-2018 03:30 PM,17-Sep-2018 10:00 AM,NA ,NA ,11-Sep-2018 03:30 PM,17-Sep-2018 10:00 AM,03-Oct-2018 03:50 PM,Executive Engineer,Karchham Division HPPWD Karcham at Bhabanagar District Kinnaur HP,"2,27,800",No,fixed,,EE Karcham,Karcham/ Bhabanagar,AOC,Finance,Summary,ROSHAN LAL CHAUHAN,03-Apr-2019 03:07 PM,finance_32777.pdf,BOQ Comparative Chart,1.0,94746.0,Krishna High Base Pvt. Ltd,INR,"24,903,443",1.0,94702.0,ARVIND BUILDERS AND CONTRACTORS,16-Sep-2018 07:18 PM,Rejected-AOC,Due to L2,03-Apr-2019 03:53 PM,Technical,Bid Opening Summary,ROSHAN LAL CHAUHAN,03-Oct-2018 03:43 PM,technical_32777.pdf,PWD,2018_PWD_23441_1,3868-71 dated 21.08.2018,Construction of link road from Rangle to Miroo km 0.0000 to 4.705. SH C.O. formation cutting 5 7 mtr. Wide road including R.wall and B.wall CD work C.O. parapet and dumping structure km 0.000 to 4.705 under Nabard RIDF XXIII,Er Roshan Lal Chauhan,Internal,Shri Naveen Sharma DAO Angyal Negi DM Shri Prem Chand Sr. Asstt.,ROSHAN LAL CHAUHAN,03-Oct-2018 03:45 PM,03-Oct-2018 03:50 PM,techsummary_32777.pdf (59.91 KB),RL Chauhan,Internal,HDM DA Supdt Gr-II,ROSHAN LAL CHAUHAN,03-Apr-2019 03:22 PM,finsummary_32777.pdf (790.37 KB),03-Apr-2019,"INR 24,903,443",540.0,ROSHAN LAL CHAUHAN,03-Apr-2019 03:53 PM,MirooAward.PDF (1088.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,94746.0,Krishna High Base Pvt. Ltd,16-Sep-2018 06:40 PM,Accepted-AOC,Awarded,03-Apr-2019 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
