Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Stage
Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:32 PM,finsummary_36496.pdf (20.05 KB),01-Apr-2019,"INR 172,062",60.0,Vijay Kumar Aggarwal,01-Apr-2019 02:39 PM,award44_545to77_950.PDF (1214.00 KB),Award,PWD,2019_PWD_25940_7,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to NH 907A Nahan Do Sarka Sarahan Kumarhatti road Km 0/0 to 78/0 (SH Construction of Rain Shelter at 45/545 Near Dharyar and 77/950 Near Kumarhatti),Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 02:07 PM,12-Feb-2019 03:00 PM,techsummary_36496.pdf (1356.42 KB),1.0,109781.0,GANPATI SHUB ENTERPRISES,INR,"187,817",Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 11:58 AM,finance_36496.pdf,BOQ Comparative Chart,Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 01:25 PM,technical_36496.pdf,1.0,109653.0,Babu ram,29-Jan-2019 06:28 PM,Rejected-AOC,3rd lowest,01-Apr-2019 02:39 PM,AOC,350.0,EE NH Division HPPWD Nahan,Nahan,No,Ordinary repair to NH 907A Nahan Do Sarka Sarahan Kumarhatti road Km 0/0 to 78/0 (SH Construction of Rain Shelter at 45/545 Near Dharyar and 77/950 Near Kumarhatti),Ordinary repair to NH 907A Nahan Do Sarka Sarahan Kumarhatti road Km 0/0 to 78/0 (SH Construction of Rain Shelter at 45/545 Near Dharyar and 77/950 Near Kumarhatti),refer tender document ,NA ,"1,72,062",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"4,000",No,fixed,,EE NH Division HPPWD Nahan,Nahan,15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),1.0,DD - Demand Draft,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109643.0,Bharat Bhushan Mohil,29-Jan-2019 06:20 PM,Rejected-AOC,2nd lowest,01-Apr-2019 02:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),2.0,BG - Bank Guarantee,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109781.0,GANPATI SHUB ENTERPRISES,30-Jan-2019 07:46 AM,Accepted-AOC,1st lowest,01-Apr-2019 02:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),3.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,109779.0,KAMDHENU ENTERPRISES,30-Jan-2019 07:34 AM,Rejected-Technical,Non responsive,12-Feb-2019 02:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,AOC
