Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,500",EE Kasauli,Kasauli,Yes,EE kasauli,EE HPPWD kasauli,1.0,DD - Demand Draft,PWD,No/PW/Ksli/CB/NIT/2018 5527-34 dt 6/8/18,2018_PWD_22915_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"46,500",No,fixed,,EE kasauli,Kasauli,16-Aug-2018 10:30 AM,31-Aug-2018 11:00 AM,16-Aug-2018 11:00 AM,30-Aug-2018 04:00 PM,NA ,NA ,16-Aug-2018 11:00 AM,30-Aug-2018 04:00 PM,31-Aug-2018 12:35 PM,AM of Banalgi Chandi Bhat ki Hatti road in km 0/0 to 12/300,AMP banalgi Chandi Bhat ki hatti road km 0/0 to 12/300 and Garkhal Shaktight Shamaghat road in km 0/0 to 14/0 SH P/L renewal coat by Providing Bitumenous concrete in km 4/0 to 6/0 and 4/0 to 5/0,Please refer Tender documents. ,NA ,"25,96,922",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AOC,Finance,Financial Bid Opening Summary,Ravi Bhatti,31-Aug-2018 01:27 PM,finance_32124.pdf,BOQ Comparative Chart,1.0,92929.0,Asphalt Carpet Construction Company,INR,"3,088,088",1.0,92929.0,Asphalt Carpet Construction Company,28-Aug-2018 03:51 PM,Accepted-AOC,lowest bidder,30-Apr-2019 04:13 PM,Technical,Bid Opening Summary,Ravi Bhatti,31-Aug-2018 12:20 PM,technical_32124.pdf,ER Ravi Bhatti,Internal,Sh Paramjeet Singh Grover Account Officer Sh Ved Prakash Supdt Gr II Sh Hemender Sharma HDM,Ravi Bhatti,31-Aug-2018 12:30 PM,31-Aug-2018 12:35 PM,techsummary_32124.pdf (63.75 KB),PWD,2018_PWD_22915_1,No/PW/Ksli/CB/NIT/2018 5527-34 dt 6/8/18,AM of Banalgi Chandi Bhat ki Hatti road in km 0/0 to 12/300,30-Apr-2019,"INR 2,596,922",60.0,Ravi Bhatti,30-Apr-2019 04:13 PM,224.pdf (249.00 KB),Award letter,Er Ravi Bhatti,Internal,Sh Param Jeet Singh grover Account Officer Sh Ved Prakash Supdt Gr II Sh Hemender Sharma HDM,Ravi Bhatti,31-Aug-2018 01:29 PM,finsummary_32124.pdf (55.94 KB),AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC,,,,,,,,,,,,2.0,92939.0,Ravinder Kumar Gupta,28-Aug-2018 04:29 PM,Rejected-AOC,second bidder,30-Apr-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (As per Performa given in General rule No.19 ).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
