Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er VK Aggarwal,Internal,TA Supttd DHD AE Dhaulakuan DAO,Vijay Kumar Aggarwal,26-Sep-2018 12:12 PM,26-Sep-2018 12:20 PM,techsummary_32451.pdf (1966.10 KB),Technical,Opening Summary,Vijay Kumar Aggarwal,25-Sep-2018 04:54 PM,technical_32451.pdf,1.0,95404.0,Anil Sharma,22-Sep-2018 03:19 PM,Rejected-Finance,6th lowest,03-Dec-2018 04:13 PM,Finance,Summary,Vijay Kumar Aggarwal,03-Dec-2018 02:21 PM,finance_32451.pdf,BOQ Comparative Chart,Er VK Aggarwal,Internal,TA Supttd DHD AE Dhaulakuan,Vijay Kumar Aggarwal,03-Dec-2018 04:13 PM,finsummary_32451.pdf (523.54 KB),PWD,2018_PWD_22513_10,NIT No. 7263-90 dated 20.08.2018,Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road on NH 907A km 0/0 to 78/0 (SH C/o PCC R/wall between RD 59/868 to 59/880),06-Apr-2019,"INR 455,502",60.0,Vijay Kumar Aggarwal,06-Apr-2019 11:43 AM,Guman62.pdf (821.00 KB),Award,1.0,95303.0,M/s GUMAN SINGH,INR,"435,744",AOC,1.0,DD - Demand Draft,PWD,NIT No. 7263-90 dated 20.08.2018,2018_PWD_22513_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE NH Division HPPWD Nahan,Nahan,No,"10,000",No,fixed,,EE NH Division HPPWD Nahan,Nahan,30-Aug-2018 11:00 AM,24-Sep-2018 11:30 AM,30-Aug-2018 11:30 AM,24-Sep-2018 10:30 AM,NA ,NA ,30-Aug-2018 11:30 AM,24-Sep-2018 10:30 AM,26-Sep-2018 12:20 PM,Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road on NH 907A km 0/0 to 78/0 (SH C/o PCC R/wall between RD 59/868 to 59/880),Ordinary repair to Nahan Do Sarka Sarahan Kumarhatti road on NH 907A km 0/0 to 78/0 (SH C/o PCC R/wall between RD 59/868 to 59/880),refer tender document ,NA ,"4,55,502",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),AOC
,,,,,,,,,,,,2.0,95403.0,Ashwani Kumar,22-Sep-2018 03:17 PM,Rejected-Finance,5th lowest,03-Dec-2018 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),AOC
,,,,,,,,,,,,3.0,95454.0,Heera Devi,23-Sep-2018 01:17 PM,Rejected-Finance,3rd lowest,03-Dec-2018 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),AOC
,,,,,,,,,,,,4.0,94305.0,Jagmohan Singh,12-Sep-2018 01:24 PM,Rejected-Finance,4th lowest,03-Dec-2018 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21),AOC
,,,,,,,,,,,,5.0,95491.0,Manish Mohan Sharma,23-Sep-2018 06:17 PM,Rejected-Finance,2nd lowest,03-Dec-2018 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",AOC
,,,,,,,,,,,,6.0,95303.0,M/s GUMAN SINGH,21-Sep-2018 03:17 PM,Accepted-AOC,1st lowest,06-Apr-2019 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
