Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Technical,aata,Pritam Chand Sharma,17-May-2018 02:04 PM,None,1.0,84088.0,PUNEET GOVT CONT,11-May-2018 12:17 AM,Rejected-AOC,ok,22-Apr-2019 01:18 PM,PC SHARMA,Internal,,Pritam Chand Sharma,17-May-2018 02:20 PM,17-May-2018 02:25 PM,techsummary_29645.pdf (310.18 KB),PWD,2018_PWD_20967_1,PW-KSG-E-TENDER/17-18/293-97,Periodical maintenance on Sanarli to Karsog road VR-0066 (PMGSY) (Sub Head Providing and laying 25mm bituminous concrete including profile correction in Km. 0/0 to 2/0),AOC,"31,900",No,fixed,,EE KARSOG,KARSOG,Periodical maintenance on Sanarli to Karsog road VR-0066 (PMGSY) (Sub Head Providing and laying 25mm bituminous concrete including profile correction in Km. 0/0 to 2/0),Periodical maintenance on Sanarli to Karsog road VR-0066 (PMGSY) (Sub Head Providing and laying 25mm bituminous concrete including profile correction in Km. 0/0 to 2/0),Please refer Tender documents. ,NA ,"16,25,656",Repair and Maintenance Works,NA ,Tender,30.0,90.0,SANARLI,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,PWD,PW-KSG-E-TENDER/17-18/293-97,2018_PWD_20967_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-May-2018 10:00 AM,14-May-2018 12:00 PM,03-May-2018 10:00 AM,11-May-2018 10:00 AM,NA ,NA ,03-May-2018 10:00 AM,11-May-2018 10:00 AM,17-May-2018 02:25 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"1,000",EE KARSOG,KARSOG,No,EE KARSOG,EE KARSOG,AOC
,,,,,2.0,84085.0,SURESH SHARMA GOVT CONTRACTOR,10-May-2018 10:27 PM,Accepted-AOC,ok,22-Apr-2019 01:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,EMD Indicated In Schedule F.(EMD not be made before 03.05.2018),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,.pdf,PAN No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,AOC
