Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Tender Stage
07-Mar-2018 01:10 PM,17-Mar-2018 11:00 AM,07-Mar-2018 01:10 PM,16-Mar-2018 06:00 PM,NA ,NA ,07-Mar-2018 01:10 PM,16-Mar-2018 06:00 PM,20-Mar-2018 04:00 PM,1.0,DD - Demand Draft,"1,500",EE Jubbal,Jubbal,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer Jubbal,HPPWD JUBBAL,Providing Periodical Maintenance to Following Link Roads under Hatkoti Sub Division AMP 2018-19 (V.R ),(1) Saraswatinager Jharashali Road Km 3/0 to 5/0 (II) Kuddu Jungle Reserve Chhajpur Road Km 2/0 to 3/0 (iii) Sawra Kathasu Road Km 1/0 to 2/0 SH Providing Renewal Coat with 25mm thick Bitumenious Concrete,Please refer Tender documents. ,NA ,"29,77,295",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,"52,200",No,fixed,,EE Jubbal,Jubbal,PWD,PW.JD/E-Tender/2017-18-15112 -14 Dt.19.2.18,2018_PWD_19997_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,20-Mar-2018 03:50 PM,20-Mar-2018 04:00 PM,techsummary_28245.pdf (363.10 KB),PWD,2018_PWD_19997_7,PW.JD/E-Tender/2017-18-15112 -14 Dt.19.2.18,Providing Periodical Maintenance to Following Link Roads under Hatkoti Sub Division AMP 2018-19 (V.R ),Er Rakesh Thakur,Internal,Supdt HDM DAO,Prem Pal Sharma,23-Apr-2019 10:24 AM,finsummary_28245.pdf (466.92 KB),Finance,Financial Bid Opening Summary,Manoj Bhardwaj,20-Mar-2018 04:44 PM,finance_28245.pdf,BOQ Comparative Chart,1.0,78422.0,AJAY KUMAR SAUHTA,10-Mar-2018 05:03 PM,Accepted-AOC,awarded,23-Apr-2019 11:59 AM,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,20-Mar-2018 03:46 PM,technical_28245.pdf,AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
