Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojKumarsupdtGeetaGRThakurSrDAO,Rajeev Shaunak,25-Apr-2019 02:56 PM,finsummary_37610.pdf (609.47 KB),25-Apr-2019,"INR 4,707,738",60.0,Rajeev Shaunak,25-Apr-2019 02:58 PM,AOC26484_5.pdf (749.00 KB),AOC,PWD,2019_PWD_26484_5,SD-I-CTR-2018-26218 dt 22-01-2019,(v) Annual Surfacing on Chhalanda Link Road Km 0/00 to 4/800 (SH Providing and Laying Bituminous Concrete 25 mm thick in Km 0/00 to 4/800) (UNDER AMP-2019-20) (Village Road),ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojKumarsupdtGeetaGRThakurSrDAO,Pradeep Kumar Bhardwaj,22-Feb-2019 02:31 PM,23-Feb-2019 11:00 AM,techsummary_37610.pdf (680.33 KB),Technical,Bid opening summary,Pradeep Kumar Bhardwaj,14-Feb-2019 04:14 PM,technical_37610.pdf,1.0,111665.0,naresh vij govt contractor,12-Feb-2019 07:25 PM,Accepted-AOC,Awarded,25-Apr-2019 02:58 PM,Finance,Bid opening summary,Pradeep Kumar Bhardwaj,25-Feb-2019 05:12 PM,finance_37610.pdf,BOQ Comparative Chart,1.0,111665.0,naresh vij govt contractor,INR,"4,732,174",AOC,PWD,SD-I-CTR-2018-26218 dt 22-01-2019,2019_PWD_26484_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,01-Feb-2019 06:00 PM,14-Feb-2019 11:00 AM,01-Feb-2019 06:00 PM,13-Feb-2019 04:00 PM,NA ,NA ,01-Feb-2019 06:00 PM,13-Feb-2019 04:00 PM,23-Feb-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),"78,200",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,"2,000",Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,(v) Annual Surfacing on Chhalanda Link Road Km 0/00 to 4/800 (SH Providing and Laying Bituminous Concrete 25 mm thick in Km 0/00 to 4/800) (UNDER AMP-2019-20) (Village Road),(v) Annual Surfacing on Chhalanda Link Road Km 0/00 to 4/800 (SH Providing and Laying Bituminous Concrete 25 mm thick in Km 0/00 to 4/800) (UNDER AMP-2019-20) (Village Road),As per SBD ,NA ,"47,07,738",Civil Works,NA ,Tender,120.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
