EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"21,100",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,AMP on Bajlah Tohlwin road,2018_PWD_19916_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Executive Engineer HPPWD Division Barsar,AMP on Bajlah to Tohlwin road,P/L BC 25mm thick in km. 4/0 to 5/00,Please refer Tender documents. ,NA ,"10,51,984",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,DD - Demand Draft,05-Mar-2018 10:30 AM,17-Mar-2018 11:30 AM,05-Mar-2018 10:30 AM,17-Mar-2018 10:30 AM,NA ,NA ,05-Mar-2018 10:30 AM,17-Mar-2018 10:30 AM,05-Apr-2018 11:30 AM,AOC,PWD,2018_PWD_19916_1,AMP on Bajlah Tohlwin road,AMP on Bajlah to Tohlwin road,Executive Engineer,Internal,Supdt HDM DAO,Santosh Kumar Katoch,04-Apr-2018 03:36 PM,05-Apr-2018 11:30 AM,techsummary_28129.pdf (400.24 KB),EE,Internal,supdt DHM DAO,Santosh Kumar Katoch,10-Apr-2019 09:36 AM,finsummary_28129.pdf (145.68 KB),10-Apr-2019,"INR 1,051,984",60.0,Santosh Kumar Katoch,10-Apr-2019 09:37 AM,bajilah.pdf (146.00 KB),AMP on Bajlah Tohlwin road,Finance,techbid,Santosh Kumar Katoch,07-Apr-2018 11:32 AM,finance_28129.pdf,BOQ Comparative Chart,1.0,79084.0,S.S.Chauhans Construction Private Limted,INR,"1,215,313",1.0,79084.0,S.S.Chauhans Construction Private Limted,16-Mar-2018 05:59 PM,Accepted-AOC,L 1,10-Apr-2019 09:37 AM,Technical,Techbid,Santosh Kumar Katoch,04-Apr-2018 03:34 PM,technical_28129.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Sale Tax Registration certificate,GST , EPF No. and Labour Licence",,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit (Plant and paver must be requi,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. that the information submitted by the bidder is true and correct,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00 lacs or more in any ci,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
