Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Chairman Er K.K.Kaushal EE Committee Members Sh S.P.Verma DAO Sh. Anand Chetan Supdt. Sh. Suresh Kumar HDM Sh. Som Raj TA,Vijay Kumar Chaudhary,21-Apr-2019 09:08 PM,finance_31131.pdf,BOQ Comparative Chart,1.0,89888.0,surinder,INR,"2,406,899",Technical,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,15-Sep-2018 03:58 PM,technical_31131.pdf,1.0,89912.0,PARDEEP KUMAR,24-Jul-2018 07:18 AM,Rejected-Finance,Due to low Amt.,21-Apr-2019 09:13 PM,21-Apr-2019,"INR 2,406,899",180.0,Vijay Kumar Chaudhary,21-Apr-2019 09:17 PM,AwardFootBridgeKachehri.pdf (1055.00 KB),"Sh. Pardeep Kumar, Govt. Contractor",K.k Kaushal,Internal,Members Sh S.P.Verma DAO Sh. Anand Chetan Supdt. Sh. Suresh Kumar HDM Sh. Som Raj TA,Vijay Kumar Chaudhary,21-Apr-2019 09:13 PM,finsummary_31131.pdf (213.35 KB),Executive Engineer,Internal,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,20-Sep-2018 02:47 PM,20-Sep-2018 04:00 PM,techsummary_31131.pdf (215.06 KB),PWD,2018_PWD_22096_2,2187-90,Construction of 13.00mtr. span foot over bridge at Kachehri Chowk near D.C office Dharamshala,AOC,Construction of 13.00mtr. span foot over bridge at Kachehri Chowk near D.C office Dharamshala,Construction of 13.00mtr. span foot over bridge at Kachehri Chowk near D.C office on Holme Road in Dharamshala City in Distt. Knagra Himachal Pradesh Deposit work,Please refer tender document ,NA ,"20,04,168",Civil Works - Bridges,NA ,Tender,120.0,180.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,DD - Demand Draft,04-Jul-2018 04:30 PM,25-Jul-2018 11:30 AM,04-Jul-2018 04:30 PM,25-Jul-2018 11:00 AM,NA ,NA ,04-Jul-2018 04:30 PM,25-Jul-2018 11:00 AM,20-Sep-2018 04:00 PM,500.0,EE Dharamshala,Dharamshala,No,"37,570",No,fixed,,EE Dharamshala,Dharamshala,PWD,2187-90,2018_PWD_22096_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),Executive Engineer,Executive Engineer HP PWD Division Dharamshala,AOC
,,,,,,,,,,,,,,,,2.0,89888.0,surinder,23-Jul-2018 05:19 PM,Accepted-AOC,Due to lowest bidder,21-Apr-2019 09:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
