EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"27,200",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,Periodic Maintenance of Dhraman to Spairu DRRP No. HP0403VR0075,Providing and Laying built up spray grout single layer Tack coat and Bituminous concrete at Km 3/0 to 5/0,Please refer Tender documents. ,NA ,"13,55,933",Civil Works - Roads,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,1.0,Estimated Cost and Earnest Money Change,Other,,PWD,PWD-BD-Tender-17-18/14757-80,2018_PWD_20010_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,1.0,DD - Demand Draft,08-Mar-2018 02:00 PM,29-Mar-2018 11:00 AM,08-Mar-2018 02:00 PM,29-Mar-2018 10:30 AM,NA ,NA ,08-Mar-2018 05:00 PM,29-Mar-2018 10:30 AM,10-Apr-2018 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,AOC,Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary Sr. Divisional Account Officer Sh. Vidhya Sagar DHD Sh. Subhash Purshan Superintendent G-II Er. R.K. Sharma A.E. Panchurkhi,Sanjiv Kumar,09-Apr-2018 03:22 PM,10-Apr-2018 11:00 AM,techsummary_28276.pdf (533.62 KB),PWD,2018_PWD_20010_1,PWD-BD-Tender-17-18/14757-80,Periodic Maintenance of Dhraman to Spairu DRRP No. HP0403VR0075,18-Apr-2019,"INR 1,355,933",90.0,Virender Kumar Dhiman,18-Apr-2019 02:54 PM,AwardDramanspairu.pdf (455.00 KB),Financial Bid of the said work open successfully on 10.4.2018 and work awarded to Sh. GP Acharya R/O Sagoor,Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Virender Kumar Dhiman,18-Apr-2019 02:50 PM,finsummary_28276.pdf (189.65 KB),1.0,80619.0,G.P.ACHARYA,28-Mar-2018 11:56 PM,Accepted-AOC,Lower Side,18-Apr-2019 02:54 PM,Technical,Three bidders participated in this tender and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,09-Apr-2018 03:20 PM,technical_28276.pdf,Finance,Financial Bid of the said work open successfully.,Virender Kumar Dhiman,18-Apr-2019 02:48 PM,finance_28276.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Cost of Earnest Money,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,80610.0,P. L. SHARMA,29-Mar-2018 09:23 AM,Rejected-Finance,Higher Side,18-Apr-2019 02:50 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80624.0,YUDHVIR SINGH,29-Mar-2018 12:12 AM,Rejected-Finance,Higher Side,18-Apr-2019 02:50 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, PAN No.",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document at clause 28.2.b,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required as Sr. No. 6.19 clause No 18,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
