Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
Er.H.L. Sharma,Internal,summay attached,Harbans Lal Sharma,29-Apr-2019 04:33 PM,finsummary_30923.pdf (759.75 KB),29-Apr-2019,"INR 885,600",90.0,Harbans Lal Sharma,29-Apr-2019 04:41 PM,7026dated16818.PDF (654.00 KB),Awad latter No. 7026-34 dated 16-08-2018,PWD,2018_PWD_21915_1,Bharwain Chintpurni Talwara road (5),Repair and restoration work for rain damages on Bharwain Chintpurni Talwara road km 000 to 15600 SH Const of Retaining wall at RD 5950 to 5960 LHS 9800 to 9810 13660 to 13673 14900 to 14907 against DC deposit,Er.HL Sharma,Internal,Smt Pawana Kumari Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE,Harbans Lal Sharma,13-Jul-2018 05:04 PM,13-Jul-2018 05:05 PM,techsummary_30923.pdf (1213.37 KB),Finance,Smt Pawana kumari Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairmain cum EE,Harbans Lal Sharma,21-Aug-2018 02:29 PM,finance_30923.pdf,BOQ Comparative Chart,1.0,87873.0,Chain Singh,INR,"736,911",Technical,Smt Pawana Kumari Supdt GrII Sh Jagdish Chand Sr Asstt Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE Er HL Sharma Chairman cum EE,Harbans Lal Sharma,13-Jul-2018 05:00 PM,technical_30923.pdf,1.0,87890.0,Arjun Singh,30-Jun-2018 05:16 PM,Rejected-AOC,ok,29-Apr-2019 04:41 PM,AOC,"17,750",No,fixed,,E E Bharwain,PNB at Amb,PWD,Bharwain Chintpurni Talwara road (5),2018_PWD_21915_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Bharwain,PNB at Amb,No,25-Jun-2018 03:00 PM,02-Jul-2018 11:30 AM,25-Jun-2018 03:00 PM,30-Jun-2018 06:00 PM,NA ,NA ,25-Jun-2018 03:00 PM,30-Jun-2018 06:00 PM,13-Jul-2018 05:05 PM,Executive Engineer,Division HPPWD Bharwain,Repair and restoration work for rain damages on Bharwain Chintpurni Talwara road km 000 to 15600 SH Const of Retaining wall at RD 5950 to 5960 LHS 9800 to 9810 13660 to 13673 14900 to 14907 against DC deposit,Repair and restoration work for rain damages on Bharwain Chintpurni Talwara road km 000 to 15600 SH Const of Retaining wall at RD 5950 to 5960 LHS 9800 to 9810 13660 to 13673 14900 to 14907 against DC deposit,Tender Documents  ,NA ,"8,85,600",Civil Works,Road ,Tender,120.0,90.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,87873.0,Chain Singh,30-Jun-2018 03:41 PM,Accepted-AOC,ok,29-Apr-2019 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,87710.0,Manu Sharma,28-Jun-2018 06:50 PM,Rejected-Technical,Original documents not received,13-Jul-2018 05:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and Clearance certificate,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,87858.0,Pankaj Thakur,30-Jun-2018 02:16 PM,Rejected-AOC,ok,29-Apr-2019 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,87818.0,Sandeep Kumar Dhiman,30-Jun-2018 05:48 PM,Rejected-AOC,ok,29-Apr-2019 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. do not have more than two works at in hand,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. authorization of upload and sign the tender documents formalities related to the work,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him (Gener,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking that before submission of bid the site been visited,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder like to be provide,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,AOC
