Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
11-Apr-2019,"INR 21,781,069",365.0,Manoj Bhardwaj,11-Apr-2019 12:39 PM,BHOLLAR-NALLAH-AOC.pdf (766.00 KB),AOC,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,11-Apr-2019 12:38 PM,finsummary_29627.pdf (22.14 KB),Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,30-May-2018 02:47 PM,30-May-2018 02:55 PM,techsummary_29627.pdf (320.88 KB),PWD,2018_PWD_20952_1,PW-JD/E-Tender/2018-19 -560-62 DT. 19.4.2018,C/O Motaroble Road from Bhollar Nalla to Utrol Kandi Bahli Lodhi Rewna Kanchi in G.P. Bhollar Km 0/0 to 5/900,1.0,84303.0,Ishwar Singh Rathour,INR,"21,781,069",Finance,Bid Opening Summary,Manoj Bhardwaj,11-Apr-2019 12:36 PM,finance_29627.pdf,BOQ Comparative Chart,Technical,Opened on dt.17/5/2017,Prem Pal Sharma,30-May-2018 02:43 PM,technical_29627.pdf,1.0,84303.0,Ishwar Singh Rathour,15-May-2018 10:35 PM,Accepted-AOC,L-1,11-Apr-2019 12:39 PM,AOC,"5,000",EE Jubbal,Jubbal,No,"2,82,000",No,fixed,,EE Jubbal,Jubbal,PWD,PW-JD/E-Tender/2018-19 -560-62 DT. 19.4.2018,2018_PWD_20952_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,02-May-2018 11:00 AM,17-May-2018 11:00 AM,02-May-2018 11:30 AM,16-May-2018 06:00 PM,NA ,NA ,02-May-2018 11:30 AM,16-May-2018 06:00 PM,30-May-2018 02:55 PM,Executive Engineer Jubbal,HPPWD JUBBAL,C/O Motaroble Road from Bhollar Nalla to Utrol Kandi Bahli Lodhi Rewna Kanchi in G.P. Bhollar Km 0/0 to 5/900,"SH Formation Cutting,C/O Retaining and Breast Walls,C/O Cross Drainage Works ,Provding and laying Kharanja Soling,Road Side katcha Drain and Essential Parapets in Km 0/0 to 5/900",Please refer Tender documents. ,NA ,"2,49,23,247",Civil Works - Roads,NA ,Tender,120.0,365.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,84347.0,Jai Chauhan,16-May-2018 04:25 PM,Rejected-Finance,L-6,11-Apr-2019 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,84150.0,Kapil Rawat,12-May-2018 12:49 PM,Rejected-Finance,L-2,11-Apr-2019 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,84337.0,Laiq Ram,16-May-2018 12:46 PM,Rejected-Finance,L-3,11-Apr-2019 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,84316.0,Mohan Lal Sharma,16-May-2018 04:39 PM,Rejected-Finance,L-4,11-Apr-2019 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,84365.0,Naresh Mehta,16-May-2018 04:25 PM,Rejected-Technical,Non-Responsive as Low Bid Capacity,30-May-2018 02:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,84359.0,Parkash Chand,16-May-2018 05:16 PM,Rejected-Finance,L-5,11-Apr-2019 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,84372.0,Roshan Lal,16-May-2018 05:53 PM,Rejected-Technical,Non-Responsive as Low Bid Capacity,30-May-2018 02:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,84361.0,Vijay Singh,16-May-2018 04:08 PM,Rejected-Finance,L-6,11-Apr-2019 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,AOC
