EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"56,500",No,fixed,,EE NH Division HPPWD Nahan,Nahan,"1,500",EE NH Division HPPWD Nahan,Nahan,No,Executive Engineer NH Division HPPWD Nahan,Executive Engineer NH Division HPPWD Nahan,PWD,9221-60 dated 20.09.2018,2018_PWD_23873_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Ordinary repair to NH 73A (New NH 907) Jagadhari Chachroli, Khijrabad, Laldhank, Bata Chowk road km 45/880 to 53/300 (SH Providing and laying 40 mm thick bituminous concrete in patch work at various RDs)","Ordinary repair to NH 73A (New NH 907) Jagadhari Chachroli, Khijrabad, Laldhank, Bata Chowk road km 45/880 to 53/300 (SH Providing and laying 40 mm thick bituminous concrete in patch work at various RDs)",refer tender document ,NA ,"32,52,975",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Nahan,No ,No,29-Sep-2018 04:00 PM,16-Oct-2018 11:30 AM,29-Sep-2018 04:30 PM,16-Oct-2018 10:30 AM,NA ,NA ,29-Sep-2018 04:30 PM,16-Oct-2018 10:30 AM,16-Oct-2018 03:00 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),AOC,1.0,97647.0,ARVIND KUMAR BANSAL,12-Oct-2018 12:17 PM,Rejected-AOC,2nd lowest,02-Apr-2019 02:33 PM,Technical,Summary,Vijay Kumar Aggarwal,16-Oct-2018 02:43 PM,technical_33385.pdf,1.0,97642.0,S.S. Associates,INR,"4,002,075",Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 01:51 PM,finance_33385.pdf,BOQ Comparative Chart,Er VK Aggarwal,Internal,TA Supttd DHA DAO AE Sarahan,Vijay Kumar Aggarwal,16-Oct-2018 02:46 PM,16-Oct-2018 03:00 PM,techsummary_33385.pdf (1284.44 KB),PWD,2018_PWD_23873_1,9221-60 dated 20.09.2018,"Ordinary repair to NH 73A (New NH 907) Jagadhari Chachroli, Khijrabad, Laldhank, Bata Chowk road km 45/880 to 53/300 (SH Providing and laying 40 mm thick bituminous concrete in patch work at various RDs)",02-Apr-2019,"INR 3,252,975",60.0,Vijay Kumar Aggarwal,02-Apr-2019 02:33 PM,awardbituminous.PDF (752.00 KB),Award,Er VK Aggarwal,Internal,TA Supttd DHD AE,Vijay Kumar Aggarwal,01-Apr-2019 01:52 PM,finsummary_33385.pdf (19.69 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,.pdf,Earnest Money(Indicate in Schedule F),AOC,2.0,97642.0,S.S. Associates,12-Oct-2018 11:56 AM,Accepted-AOC,1st lowest,02-Apr-2019 02:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractors registration(Refer General Rule NO.23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of similar work not less than Forty Percent of the estimated cost AS per Schedule F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
