S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,05-Jul-2018 10:00 AM,28-Jul-2018 11:00 AM,05-Jul-2018 11:00 AM,28-Jul-2018 10:30 AM,NA ,NA ,05-Jul-2018 11:00 AM,28-Jul-2018 10:30 AM,08-Aug-2018 11:00 AM,"12,300",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,PWD,PWD-BD-NIT-2018-19/4051-75,2018_PWD_22074_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,Improvement of Black Spot on Bhuana Ashapuri Road Km 0/0 to 9/630,C/O R/Wall and widening of road Km 6/007 to 6/120).,Please refer Tender documents. ,NA ,"6,10,368",Civil Works - Roads,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,AOC,1.0,90342.0,Shalabh Awasthi,INR,"617,349",Finance,Summary,Virender Kumar,20-Apr-2019 01:49 PM,finance_31109.pdf,BOQ Comparative Chart,1.0,90250.0,Asha Kumari,26-Jul-2018 06:13 PM,Rejected-AOC,Rejected due to higher rates bidder L2,20-Apr-2019 01:56 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid,Sanjiv Kumar,04-Aug-2018 04:26 PM,technical_31109.pdf,PWD,2018_PWD_22074_1,PWD-BD-NIT-2018-19/4051-75,Improvement of Black Spot on Bhuana Ashapuri Road Km 0/0 to 9/630,Er. S.K. Sood,Internal,Sh Rajinder Chaudhary Sr DAO Sh Ravi Rana Draughtman Sh Subhash Purshan Superintendent GII Er Vaneet Sharma AE Panchrukhi,Sanjiv Kumar,04-Aug-2018 04:28 PM,08-Aug-2018 11:00 AM,techsummary_31109.pdf (617.24 KB),Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, Superintendent G-II, Draughtman, Sr.DAO",Virender Kumar,20-Apr-2019 01:53 PM,finsummary_31109.pdf (169.63 KB),20-Apr-2019,"INR 610,368",90.0,Virender Kumar,20-Apr-2019 01:56 PM,Award.pdf (199.00 KB),Award_letter,AOC
2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,90342.0,Shalabh Awasthi,27-Jul-2018 06:12 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,20-Apr-2019 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"GST Registration, PAN No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Undertaking no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
