Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,11-Apr-2019 12:11 PM,finsummary_38607.pdf (210.15 KB),11-Apr-2019,"INR 216,945",60.0,Kishan Lal Chaudhary,11-Apr-2019 12:13 PM,27137.pdf (252.00 KB),work awarded to Sh. Virender Kumar,PWD,2019_PWD_27137_1,RAIN DAMAGES,Restoration of rain damages on Banethi Bagthan Rajgarh Chandol road Km. 48/0 to 82/0(SH C/O PCC R/wall in between RD 81/350 to 81/360 ),Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,26-Feb-2019 04:18 PM,26-Feb-2019 04:30 PM,techsummary_38607.pdf (349.20 KB),1.0,113834.0,Virender Kumar govt Contractor,INR,"346,493",Finance,SUMMARY,Kishan Lal Chaudhary,02-Mar-2019 03:22 PM,finance_38607.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,26-Feb-2019 03:58 PM,technical_38607.pdf,1.0,113924.0,JITENDER SINGH,20-Feb-2019 04:29 PM,Rejected-AOC,L2,11-Apr-2019 12:13 PM,AOC,350.0,EE RAJGARH,RAJGARH,No,"5,000",No,fixed,,EE RAJGARH,RAJGARH,PWD,RAIN DAMAGES,2019_PWD_27137_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,11-Feb-2019 05:00 PM,21-Feb-2019 11:00 AM,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,26-Feb-2019 04:30 PM,1.0,DD - Demand Draft,Restoration of rain damages on Banethi Bagthan Rajgarh Chandol road Km. 48/0 to 82/0(SH C/O PCC R/wall in between RD 81/350 to 81/360 ),Restoration of rain damages on Banethi Bagthan Rajgarh Chandol road Km. 48/0 to 82/0(SH C/O PCC R/wall in between RD 81/350 to 81/360 ),Please refer Tender documents. ,NA ,"2,16,945",Civil Works - Roads,NA ,Tender,90.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113131.0,RAJESH KUMAR BHANDARI,16-Feb-2019 11:37 AM,Rejected-Technical,Original DD and Bid security has not submitted,26-Feb-2019 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113701.0,Rakesh,20-Feb-2019 04:12 PM,Rejected-Technical,Not fulfill qualifying the criteria,26-Feb-2019 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,113939.0,RAMESH CHAND,20-Feb-2019 04:58 PM,Rejected-Technical,Original DD and Bid security has not submitted,26-Feb-2019 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,113573.0,Tapender Thakur,19-Feb-2019 02:38 PM,Rejected-Technical,Original DD and Bid security has not submitted,26-Feb-2019 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,113834.0,Virender Kumar govt Contractor,20-Feb-2019 12:56 PM,Accepted-AOC,L1,11-Apr-2019 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor to submit the incomplete works on proforma mentioned S. No. 19 as per General Rules 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
