Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Exec utive Engineer,"Kumarsain Division, HPPWD Kumarsain","16,400",No,fixed,,EE Kumarsain,Kumarsain,1.0,DD - Demand Draft,Construction of road from Kepu to Arthi Km 0/000 to 1/500 SH Formation cutting 5/7 mtr wide road in Km.0/675 to 1/000 and C/O R.C.C Hume Pipe culvert at RD 0/350,Construction of road from Kepu to Arthi Km 0/000 to 1/500 SH Formation cutting 5/7 mtr wide road in Km.0/675 to 1/000 and C/O R.C.C Hume Pipe culvert at RD 0/350,Please refer Tender documents. ,NA ,"8,18,141",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW-KMS-AB-NIT/2018-554-55 dt.20.4.2018,2018_PWD_21000_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Kumarsain,Kumarsain,No,05-May-2018 05:00 PM,21-May-2018 11:00 AM,05-May-2018 05:30 PM,19-May-2018 06:00 PM,NA ,NA ,05-May-2018 05:30 PM,19-May-2018 06:00 PM,23-May-2018 03:30 PM,AOC,1.0,84601.0,DALIP SINGH GOVT CONTRACTOR,19-May-2018 04:10 PM,Accepted-AOC,AOC,24-Apr-2019 02:44 PM,Technical,Bid Opening summary,Umesh Sharma,22-May-2018 12:20 PM,technical_29685.pdf,Finance,Technical Bid evaluation summary,Atul Gazta,23-May-2018 04:01 PM,finance_29685.pdf,BOQ Comparative Chart,1.0,84601.0,DALIP SINGH GOVT CONTRACTOR,INR,"700,942",PWD,2018_PWD_21000_1,PW-KMS-AB-NIT/2018-554-55 dt.20.4.2018,Construction of road from Kepu to Arthi Km 0/000 to 1/500 SH Formation cutting 5/7 mtr wide road in Km.0/675 to 1/000 and C/O R.C.C Hume Pipe culvert at RD 0/350,Er.Umesh Sharma,Internal,"HDM, Supdt Gr-II and Sr.Assistant",Umesh Sharma,23-May-2018 03:29 PM,23-May-2018 03:30 PM,techsummary_29685.pdf (686.02 KB),Er.Dalip Singh,Internal,Supdt Gr II HDM and DA,Manoj Kumar Sehgal,24-Apr-2019 11:31 AM,finsummary_29685.pdf (686.19 KB),24-Apr-2019,"INR 700,942",90.0,Manoj Kumar Sehgal,24-Apr-2019 02:44 PM,Kepu.pdf (256.00 KB),AOC,AOC
,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,84598.0,Nitish Bhaluni,19-May-2018 03:36 PM,Rejected-Finance,Reject,24-Apr-2019 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,84582.0,parveen,19-May-2018 05:54 PM,Rejected-Finance,Reject,24-Apr-2019 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,84591.0,Rohitashav Singh Mehta,19-May-2018 02:57 PM,Rejected-Finance,Reject,24-Apr-2019 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,84594.0,SURENDER CHAUHAN,19-May-2018 03:36 PM,Rejected-Finance,Reject,24-Apr-2019 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
