Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri naresh Kumar HDM and smt rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,01-Apr-2019 01:49 PM,finsummary_37116.pdf (30.66 KB),01-Apr-2019,"INR 584,451",60.0,Arvind Kumar,01-Apr-2019 01:52 PM,Award.pdf (345.00 KB),Award of contract,PWD,2019_PWD_26270_1,14836-44 dated 09.01.2019 Jatoli Damrog road AMp,Peridical renewal unde AMp for the Year 201920 on Jatoli Damrog road km0/00 to 5/050,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior Dao Solan Shri naresh kumar hDM and smt Rekha supdt Grade II PMGSY,Arvind Kumar,11-Feb-2019 01:24 PM,11-Feb-2019 01:30 PM,techsummary_37116.pdf (36.49 KB),Technical,Technical bid opening summary,Arvind Kumar,11-Feb-2019 01:21 PM,technical_37116.pdf,1.0,110177.0,naresh vij govt contractor,02-Feb-2019 12:32 PM,Rejected-AOC,ok,01-Apr-2019 01:52 PM,Finance,fin,Arvind Kumar,11-Feb-2019 05:53 PM,finance_37116.pdf,BOQ Comparative Chart,1.0,110041.0,Shubham Construction,INR,"584,450.5",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,1.0,DD - Demand Draft,EE B and R Solan,EE B and R Division HPPWD Solan,"9,700",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,Peridical renewal unde AMp for the Year 201920 on Jatoli Damrog road km0/00 to 5/050,SH Providing and layng BC in Km3/340 to 4/00,Please refer Tender documents. ,NA ,"4,84,613",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,PWD,14836-44 dated 09.01.2019 Jatoli Damrog road AMp,2019_PWD_26270_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE B and R Division HPPWD Solan,EE Solan,No,24-Jan-2019 02:30 PM,06-Feb-2019 11:00 AM,24-Jan-2019 02:30 PM,06-Feb-2019 10:30 AM,NA ,NA ,24-Jan-2019 02:30 PM,06-Feb-2019 10:30 AM,11-Feb-2019 01:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,110041.0,Shubham Construction,02-Feb-2019 09:40 AM,Accepted-AOC,ok,01-Apr-2019 01:52 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors registraiton reffer general rules No 23,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 proof of ownership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8refer in SBD Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
