Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
25-Jun-2018 10:00 AM,20-Jul-2018 11:00 AM,25-Jun-2018 11:00 AM,20-Jul-2018 10:30 AM,NA ,NA ,25-Jun-2018 11:00 AM,20-Jul-2018 10:30 AM,08-Aug-2018 11:00 AM,PWD,PWD-BD-NIT-2018-19/3176-95,2018_PWD_21890_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,"13,800",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,1.0,DD - Demand Draft,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,Periodic Maintenance Kosri Dhupkiara road Km 0/0 to 6/0 ( Phase-I 2000-01) Performance based Incentive 2017-18,"Providing and Laying built up spray grout single layer, tack coat and Bituminous concrete at Km 0/0 to 1/0",Please refer Tender documents. ,NA ,"6,85,808",Civil Works - Roads,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,AOC,Er. S.K. Sood,Internal,Sh Rajinder Chaudhary Sr DAO Sh Ravi Rana Draughtman Sh Subhash Purshan Superintendent GII Er Vaneet Sharma AE Panchrukhi,Sanjiv Kumar,04-Aug-2018 05:12 PM,08-Aug-2018 11:00 AM,techsummary_30880.pdf (592.72 KB),PWD,2018_PWD_21890_1,PWD-BD-NIT-2018-19/3176-95,Periodic Maintenance Kosri Dhupkiara road Km 0/0 to 6/0 ( Phase-I 2000-01) Performance based Incentive 2017-18,20-Apr-2019,"INR 685,808",90.0,Virender Kumar,20-Apr-2019 03:40 PM,Award.pdf (241.00 KB),Award_letter,Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, Superintendent G-II, HDM, Sr. DAO",Virender Kumar,20-Apr-2019 03:37 PM,finsummary_30880.pdf (170.79 KB),Finance,Summary,Virender Kumar,20-Apr-2019 03:35 PM,finance_30880.pdf,BOQ Comparative Chart,1.0,89718.0,G.P.ACHARYA,INR,"851,841",1.0,89718.0,G.P.ACHARYA,20-Jul-2018 12:50 AM,Accepted-AOC,Accepted due to lowest rates bidder L1,20-Apr-2019 03:40 PM,Technical,One bidder participated in this work and found responsive. As per Govt notification tender recommended to open financial bid,Sanjiv Kumar,04-Aug-2018 05:11 PM,technical_30880.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, PAN No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
