Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er.H.L. Sharma,Internal,Proceeding attached,Harbans Lal Sharma,03-Mar-2019 11:42 AM,finsummary_32192.pdf (755.65 KB),03-Mar-2019,"INR 5,184,456",90.0,Harbans Lal Sharma,26-Apr-2019 06:12 PM,905765dated26918.PDF (1032.00 KB),Award latter No. 9057-65 dated 26-09-2018,PWD,2018_PWD_22978_1,L/R to village Nakroh under Bharwain Division,Construction of Missing CD on link road to village Nakroh km 00 to 2300 SH Const 3.00 meter RCC slab culvert at RD 2150,Er.HL Sharma,Internal,Sh. Parkash Chand Supdt Gr-II Smt Pawana Kumari Supdt GR-II Sh Rajinder Kumar HDM Sh. Dinesh Kumar AE,Harbans Lal Sharma,11-Sep-2018 01:09 PM,11-Sep-2018 01:10 PM,techsummary_32192.pdf (693.72 KB),Technical,Sh Parkash Chand Supdt GR-II Smt Pawana Kumari Supdt PMGSY Sh. Rajinder Kumar DHD SH Dinesh Kumar AE Sh HL Sharma Chairman cum EE,Harbans Lal Sharma,11-Sep-2018 12:48 PM,technical_32192.pdf,1.0,92645.0,Rajesh Kumar Govt. Contractor,23-Aug-2018 05:47 PM,Rejected-AOC,L-2,26-Apr-2019 06:12 PM,Finance,Proceeding attached,Harbans Lal Sharma,03-Mar-2019 11:39 AM,finance_32192.pdf,BOQ Comparative Chart,1.0,92640.0,Sachin Thakur Govt. Contractor,INR,"543,882",AOC,17-Aug-2018 06:00 PM,24-Aug-2018 11:30 AM,17-Aug-2018 06:00 PM,23-Aug-2018 06:00 PM,NA ,NA ,17-Aug-2018 06:00 PM,23-Aug-2018 06:00 PM,11-Sep-2018 01:10 PM,Construction of Missing CD on link road to village Nakroh km 00 to 2300 SH Const 3.00 meter RCC slab culvert at RD 2150,Construction of Missing CD on link road to village Nakroh km 00 to 2300 SH Const 3.00 meter RCC slab culvert at RD 2150,Tender Documents ,NA ,"5,18,456",Civil Works,Road ,Tender,120.0,90.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,PWD,L/R to village Nakroh under Bharwain Division,2018_PWD_22978_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),350.0,EE Bharwain,PNB at Amb,No,Executive Engineer,Executive Engineer Bharwain Division HPPWD Bharwain,1.0,DD - Demand Draft,"10,400",No,fixed,,E E Bharwain,PNB at Amb,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,92640.0,Sachin Thakur Govt. Contractor,23-Aug-2018 05:16 PM,Accepted-AOC,L-1,26-Apr-2019 06:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and Clearance certificate,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work in hand certificate General Rule No.19(Shown in scheduled F),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A certificate regarding not more than two works in hand under this division to be issued by the EE,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. authorization of upload and sign the tender documents formalities related to the work,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machineries Tool plants Indicated in schedule-F),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipments (Indicated in schedule-F),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him (Gener,,,,,,,,,,,,,,,AOC
