Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"60,500",No,fixed,,EE Jubbal,Jubbal,"2,000",EE Jubbal,Jubbal,No,Providing Periodical Maintenance to SARASWATI NAGAR JARASHLI RAOD under AMP 2019-20,"SH Providing Renewal Coat with 25mm thick Bitumenious Concrete in Km 1/0 to 3/0,5/0 to 7/0 and 8/0 to 10/0",Please refer Tender documents. ,NA ,"45,47,267",Civil Works - Roads,NA ,Tender,120.0,90.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,31-Jan-2019 03:00 PM,12-Feb-2019 11:00 AM,31-Jan-2019 03:00 PM,11-Feb-2019 06:00 PM,NA ,NA ,31-Jan-2019 03:00 PM,11-Feb-2019 06:00 PM,13-Feb-2019 01:30 PM,1.0,DD - Demand Draft,Executive Engineer Jubbal,HPPWD JUBBAL,PWD,PW-JD/E-Tender/2018-19 -11703-5 DT. 19.1.19,2019_PWD_26459_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er Rakesh Thakur,Internal,HDM Supdt DAO,Prem Pal Sharma,13-Feb-2019 12:37 PM,13-Feb-2019 01:30 PM,techsummary_37513.pdf (406.21 KB),PWD,2019_PWD_26459_5,PW-JD/E-Tender/2018-19 -11703-5 DT. 19.1.19,Providing Periodical Maintenance to SARASWATI NAGAR JARASHLI RAOD under AMP 2019-20,17-Apr-2019,"INR 6,415,431",90.0,Prem Pal Sharma,17-Apr-2019 01:20 PM,mandal.pdf (617.00 KB),awarded,Er Rakesh Thakur,Internal,"Xen,DHD,Supdt,DAO",Prem Pal Sharma,16-Apr-2019 01:06 PM,finsummary_37513.pdf (472.75 KB),1.0,110666.0,AJAY KUMAR SAUHTA,04-Feb-2019 06:39 PM,Accepted-AOC,awarded,17-Apr-2019 01:20 PM,Technical,Only 1 No bid received Sh.Ajay Sahuta,Prem Pal Sharma,13-Feb-2019 11:31 AM,technical_37513.pdf,Finance,one no responsive bid of Sh Ajay Sahuta.,Prem Pal Sharma,13-Feb-2019 03:07 PM,finance_37513.pdf,BOQ Comparative Chart,1.0,110666.0,AJAY KUMAR SAUHTA,INR,"6,415,431",AOC
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
