Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,fin bid,Anil Kumar Sharma,13-Feb-2019 12:22 PM,finance_37107.pdf,BOQ Comparative Chart,1.0,110750.0,SHASHI KUMAR,INR,"2,575,249",Technical,bid opening summary,Anil Kumar Sharma,06-Feb-2019 07:46 PM,technical_37107.pdf,1.0,110726.0,dinesh kumar,04-Feb-2019 11:07 PM,Rejected-Finance,NL,10-Apr-2019 09:18 PM,10-Apr-2019,"INR 1,857,214",120.0,Pramod Kashyap,10-Apr-2019 09:19 PM,shashi1.pdf (430.00 KB),C/O 62 (S.C) boys Hostel at I.T.I Building Bhoranj Distt. Hamirpur,EE,Internal,supdt HDM DAO,Pramod Kashyap,10-Apr-2019 09:18 PM,finsummary_37107.pdf (429.74 KB),EE,Internal,supdt HDM DAO,Anil Kumar Sharma,12-Feb-2019 07:05 PM,13-Feb-2019 10:30 AM,techsummary_37107.pdf (462.52 KB),PWD,2019_PWD_26263_1,C/O 62 (S.C) boys Hostel at I.T.I Buld. Bhoranj,C/O 62 (S.C) boys Hostel at I.T.I Building Bhoranj Distt. Hamirpur,AOC,PWD,C/O 62 (S.C) boys Hostel at I.T.I Buld. Bhoranj,2019_PWD_26263_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,DD - Demand Draft,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,24-Jan-2019 01:00 PM,06-Feb-2019 10:30 AM,24-Jan-2019 01:00 PM,05-Feb-2019 10:30 AM,NA ,NA ,24-Jan-2019 01:00 PM,05-Feb-2019 10:30 AM,13-Feb-2019 10:30 AM,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"35,400",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,C/O 62 (S.C) boys Hostel at I.T.I Building Bhoranj Distt. Hamirpur,C/O balance work of Building portion ) Deposit Work,Please refer Tender documents. ,NA ,"18,57,214",Civil Works - Buildings,NA ,Tender,120.0,120.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,110751.0,PIAR CHAND GOVT CONTRACTOR,05-Feb-2019 08:41 AM,Rejected-Finance,L 3,10-Apr-2019 09:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,110764.0,Sanjeev Kumar,05-Feb-2019 10:11 AM,Rejected-Technical,Non Responsive,12-Feb-2019 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,110750.0,SHASHI KUMAR,05-Feb-2019 08:39 AM,Accepted-AOC,L 1,10-Apr-2019 09:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,110507.0,SURESH KUMAR GOVT CONT,04-Feb-2019 03:46 PM,Rejected-Technical,Non Responsive,12-Feb-2019 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,109622.0,thakur enterprises,05-Feb-2019 09:42 AM,Rejected-Technical,Non Responsive,12-Feb-2019 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
